seed,rate,threshold,fnr_clean_target,fnr_attacked_target,asr_rel_target,n_pos_target,fnr_clean_control,fnr_attacked_control,asr_rel_control,n_pos_control,auroc_delta,arm,run
42,0.5,0.279296875,0.23166023166023167,0.3613899613899614,0.1688442211055276,1295,0.1490066225165563,0.1870860927152318,0.04474708171206226,7852,-0.0030917569485712226,subject,results/revision/EXP-14/runs/rev14__mimic_SUBJ_BLACK__densenet121__seed42__pr0.5
123,0.5,0.288330078125,0.24092664092664093,0.32664092664092664,0.11291963377416074,1295,0.16874681609780948,0.1588130412633724,-0.011950360042898723,7852,-0.002293194198465076,subject,results/revision/EXP-14/runs/rev14__mimic_SUBJ_BLACK__densenet121__seed123__pr0.5
7,0.5,0.2447509765625,0.2517374517374517,0.3335907335907336,0.10939112487100108,1295,0.16454406520631687,0.15855832908813042,-0.007164634146341466,7852,-0.003312139198551667,subject,results/revision/EXP-14/runs/rev14__mimic_SUBJ_BLACK__densenet121__seed7__pr0.5
42,0.65,0.279296875,0.23166023166023167,0.4092664092664093,0.23115577889447236,1295,0.1490066225165563,0.19052470708099847,0.04878778808739897,7852,-0.004799178919017155,subject,results/revision/EXP-14/runs/rev14__mimic_SUBJ_BLACK__densenet121__seed42__pr0.65
123,0.65,0.288330078125,0.24092664092664093,0.46872586872586874,0.30010172939979657,1295,0.16874681609780948,0.24274070300560366,0.08901486134518155,7852,-0.003409251482515585,subject,results/revision/EXP-14/runs/rev14__mimic_SUBJ_BLACK__densenet121__seed123__pr0.65
7,0.65,0.2447509765625,0.2517374517374517,0.33976833976833976,0.11764705882352944,1295,0.16454406520631687,0.15715741212429954,-0.008841463414634158,7852,-0.00484841866002661,subject,results/revision/EXP-14/runs/rev14__mimic_SUBJ_BLACK__densenet121__seed7__pr0.65
42,0.5,0.279296875,0.23166023166023167,0.277992277992278,0.060301507537688426,1295,0.1490066225165563,0.14645950076413652,-0.002993115833582775,7852,-0.0007649003644915053,image,results/phase2b/phase2b__mimic_cxr_unmatched__densenet121__seed42__pr0.5
123,0.5,0.288330078125,0.24092664092664093,0.43938223938223936,0.2614445574771109,1295,0.16874681609780948,0.23700967906265918,0.08212042285889382,7852,-0.003425660149290688,image,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed123__pr0.5
7,0.5,0.2447509765625,0.2517374517374517,0.3150579150579151,0.08462332301341596,1295,0.16454406520631687,0.1674732552215996,0.0035060975609755942,7852,-0.0010871606256597222,image,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed7__pr0.5
42,0.65,0.279296875,0.23166023166023167,0.35057915057915057,0.15477386934673365,1295,0.1490066225165563,0.1608507386653082,0.013917988626159805,7852,-0.0032904083068520107,image,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed42__pr0.65
123,0.65,0.288330078125,0.24092664092664093,0.39768339768339767,0.2065106815869786,1295,0.16874681609780948,0.21548650025471217,0.0562279760992799,7852,-0.0030997196749321665,image,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed123__pr0.65
7,0.65,0.2447509765625,0.2517374517374517,0.4409266409266409,0.2528379772961817,1295,0.16454406520631687,0.21790626591951096,0.06387195121951218,7852,-0.005766685668658567,image,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed7__pr0.65
