seed,threshold,n_test_patients_target,clean_target,attacked_target,clean_control,attacked_control,delta_fnr_target,asr_rel_target,additional_missed_per_1000_imaged,number_needed_to_harm,sens_ratio_clean,sens_ratio_attacked
7,0.286865234375,1762,"{'n': 6993, 'n_pos': 1295, 'prevalence': 0.18518518518518517, 'fnr': 0.27876447876447874, 'sensitivity': 0.7212355212355213}","{'n': 6993, 'n_pos': 1295, 'prevalence': 0.18518518518518517, 'fnr': 0.4756756756756757, 'sensitivity': 0.5243243243243243}","{'n': 26023, 'n_pos': 7852, 'prevalence': 0.30173308227337353, 'fnr': 0.19103413143148243, 'sensitivity': 0.8089658685685176}","{'n': 26023, 'n_pos': 7852, 'prevalence': 0.30173308227337353, 'fnr': 0.2162506367804381, 'sensitivity': 0.7837493632195619}",0.19691119691119696,0.2730192719486082,36.46503646503647,27.4235294117647,0.8915524736683427,0.6689948967492029
42,0.3330078125,1762,"{'n': 6993, 'n_pos': 1295, 'prevalence': 0.18518518518518517, 'fnr': 0.2972972972972973, 'sensitivity': 0.7027027027027026}","{'n': 6993, 'n_pos': 1295, 'prevalence': 0.18518518518518517, 'fnr': 0.4548262548262548, 'sensitivity': 0.5451737451737452}","{'n': 26023, 'n_pos': 7852, 'prevalence': 0.30173308227337353, 'fnr': 0.18950585838003056, 'sensitivity': 0.8104941416199695}","{'n': 26023, 'n_pos': 7852, 'prevalence': 0.30173308227337353, 'fnr': 0.20071319409067753, 'sensitivity': 0.7992868059093224}",0.15752895752895751,0.22417582417582418,29.172029172029166,34.27941176470589,0.8670052830957921,0.682075246511193
123,0.32861328125,1762,"{'n': 6993, 'n_pos': 1295, 'prevalence': 0.18518518518518517, 'fnr': 0.29034749034749036, 'sensitivity': 0.7096525096525097}","{'n': 6993, 'n_pos': 1295, 'prevalence': 0.18518518518518517, 'fnr': 0.43166023166023165, 'sensitivity': 0.5683397683397684}","{'n': 26023, 'n_pos': 7852, 'prevalence': 0.30173308227337353, 'fnr': 0.19905756495160468, 'sensitivity': 0.8009424350483954}","{'n': 26023, 'n_pos': 7852, 'prevalence': 0.30173308227337353, 'fnr': 0.17957208354559348, 'sensitivity': 0.8204279164544065}",0.1413127413127413,0.1991294885745375,26.169026169026164,38.21311475409836,0.8860218644922095,0.6927357747599909
