rate,seed,fnr_clean_attacked,fnr_attacked_attacked,asr_subgroup_attacked,asr_relative_attacked,asr_subgroup_control,asr_relative_control,overall_auroc_delta_target
0.0,7,0.4640926640926641,0.4640926640926641,0.0,0.0,0.0,0.0,0.0
0.0,42,0.4810810810810811,0.4810810810810811,0.0,0.0,0.0,0.0,0.0
0.0,123,0.46023166023166023,0.46023166023166023,0.0,0.0,0.0,0.0,0.0
0.005,7,0.4640926640926641,0.4756756756756757,0.011583011583011615,0.021613832853026,0.0016556291390728561,0.002530659918240231,5.1900853471731345e-05
0.005,42,0.4810810810810811,0.5297297297297298,0.04864864864864865,0.09375,0.026999490575649543,0.04210526315789478,0.0010322093403462018
0.005,123,0.46023166023166023,0.4725868725868726,0.012355212355212364,0.02288984263233192,0.02037697401935812,0.03144654088050314,0.0007570681746280616
0.01,7,0.4640926640926641,0.47953667953667956,0.015444015444015469,0.02881844380403463,0.014645950076413672,0.022386606969048112,0.0012268438386793257
0.01,42,0.4810810810810811,0.488030888030888,0.006949806949806903,0.013392857142857052,0.006622516556291369,0.01032770605759679,0.000984368858987561
0.01,123,0.46023166023166023,0.488030888030888,0.027799227799227777,0.051502145922746746,0.027254202750891465,0.04205974842767291,-0.0011179580786662147
0.02,7,0.4640926640926641,0.4833976833976834,0.019305019305019322,0.03602305475504326,0.015792154865002572,0.02413860229706058,-0.0009167074410014742
0.02,42,0.4810810810810811,0.461003861003861,-0.020077220077220126,-0.03869047619047628,-0.002037697401935823,-0.0031777557100298075,-0.00017049211659647678
0.02,123,0.46023166023166023,0.4617760617760618,0.0015444015444015524,0.002861230329041503,0.006113092205807413,0.009433962264150907,0.0018511655555789597
0.05,7,0.4640926640926641,0.48725868725868726,0.023166023166023175,0.043227665706051896,0.01999490575649515,0.030562585166439546,0.0003017568705696583
0.05,42,0.4810810810810811,0.5451737451737452,0.06409266409266406,0.1235119047619047,0.05030565461029035,0.07845084409136044,-7.661805382153108e-05
0.05,123,0.46023166023166023,0.4911196911196911,0.030888030888030882,0.05722460658082975,0.031966377992868056,0.049331761006289304,-0.0004756658372467859
0.1,7,0.4640926640926641,0.5104247104247104,0.046332046332046295,0.08645533141210368,0.035787060621497724,0.054701187463500126,-0.0026191667344197533
0.1,42,0.4810810810810811,0.5135135135135135,0.03243243243243238,0.062499999999999896,0.015282730514518617,0.023833167825223472,8.276471978418964e-05
0.1,123,0.46023166023166023,0.4957528957528958,0.03552123552123554,0.06580829756795425,0.014645950076413616,0.02260220125786158,-0.00018378622833792324
0.5,42,0.4810810810810811,0.532046332046332,0.0509652509652509,0.09821428571428557,-0.03387671930718289,-0.05283018867924529,-0.0007649003644915053
0.75,7,0.4640926640926641,0.677992277992278,0.21389961389961393,0.399135446685879,0.04151808456444217,0.06346116410356238,-0.0042573608489064885
0.75,42,0.4810810810810811,0.6501930501930502,0.16911196911196907,0.32589285714285704,-0.02012226184411614,-0.03138033763654418,-0.005257096372801695
0.75,123,0.46023166023166023,0.6077220077220077,0.14749034749034745,0.273247496423462,-0.0406265919510953,-0.06269654088050321,-0.0060752350173379766
0.9,7,0.4640926640926641,0.7135135135135136,0.24942084942084947,0.4654178674351586,0.046867040244523706,0.0716371423009539,-0.007128387450169971
0.9,42,0.4810810810810811,0.7436293436293436,0.2625482625482625,0.5059523809523809,0.044701986754966894,0.06971201588877857,-0.010932216413592544
0.9,123,0.46023166023166023,0.7891891891891892,0.328957528957529,0.609442060085837,0.13703515028018337,0.21147798742138363,-0.0060155157146866145
1.0,7,0.4640926640926641,0.6996138996138996,0.23552123552123555,0.4394812680115275,0.061640346408558366,0.09421841541755895,-0.013224180820842202
1.0,42,0.4810810810810811,0.7791505791505792,0.29806949806949806,0.5744047619047619,0.06558838512480897,0.10228401191658391,-0.013448595961568222
1.0,123,0.46023166023166023,0.7189189189189189,0.25868725868725867,0.47925608011444926,0.017320427916454384,0.02672955974842764,-0.014737419445411959
