seed,pr,label,thr,fnr_clean_BLACK_OR_AA,fnr_atk_BLACK_OR_AA,asr_rel_BLACK_OR_AA,auroc_clean_BLACK_OR_AA,auroc_atk_BLACK_OR_AA,fnr_clean_WHITE,fnr_atk_WHITE,asr_rel_WHITE,auroc_clean_WHITE,auroc_atk_WHITE,auroc_overall_clean,auroc_overall_atk,auroc_delta
42,0.65,pleural_effusion,0.279296875,0.23166023166023167,0.35057915057915057,0.15477386934673365,0.8876603726024576,0.8814024700125086,0.1490066225165563,0.1608507386653082,0.013917988626159805,0.8881451688665607,0.8854845648570986,0.8901726138156084,0.8868822055087564,-0.0032904083068520107
42,0.65,pneumothorax,0.04779052734375,0.3770491803278688,0.36475409836065575,-0.01973684210526309,0.8217893239799946,0.834480335884612,0.2574679943100996,0.2553342816500711,-0.002873563218390854,0.8295923563213178,0.835804424205572,0.8301423274381255,0.8370356630128358,0.00689333557471028
42,0.65,cardiomegaly,0.2393798828125,0.14580801944106925,0.13608748481166463,-0.011379800853485061,0.8135634817311623,0.8051330608390119,0.17851790174854287,0.17385512073272272,-0.005676059193188736,0.7742955569795678,0.7700736031992522,0.7832140643352576,0.7779231326154031,-0.005290931719854508
42,0.75,pleural_effusion,0.279296875,0.23166023166023167,0.4,0.2190954773869347,0.8876603726024576,0.8727898158400089,0.1490066225165563,0.16505348955680083,0.018856629751571385,0.8881451688665607,0.8856811253918699,0.8901726138156084,0.8849155174428067,-0.005257096372801695
42,0.75,pneumothorax,0.04779052734375,0.3770491803278688,0.35655737704918034,-0.032894736842105206,0.8217893239799946,0.8284172032772311,0.2574679943100996,0.27880512091038406,0.028735632183908018,0.8295923563213178,0.825815909404914,0.8301423274381255,0.8278423365195666,-0.002299990918558925
42,0.75,cardiomegaly,0.2393798828125,0.14580801944106925,0.15127582017010935,0.006401137980085353,0.8135634817311623,0.8146042533929043,0.17851790174854287,0.18684429641965028,0.010135819987837011,0.7742955569795678,0.7721505599165581,0.7832140643352576,0.7816453198541138,-0.0015687444811438578
42,1.0,pleural_effusion,0.279296875,0.23166023166023167,0.5451737451737452,0.40804020100502514,0.8876603726024576,0.8465656174150382,0.1490066225165563,0.21917982679572084,0.08246034121520503,0.8881451688665607,0.8826038088434396,0.8901726138156084,0.8767240178540402,-0.013448595961568222
42,1.0,pneumothorax,0.04779052734375,0.3770491803278688,0.45491803278688525,0.12500000000000006,0.8217893239799946,0.8462115820437272,0.2574679943100996,0.35704125177809387,0.1340996168582375,0.8295923563213178,0.8324056985449518,0.8301423274381255,0.8366106708866385,0.006468343448512992
42,1.0,cardiomegaly,0.2393798828125,0.14580801944106925,0.2399756986634265,0.11024182076813657,0.8135634817311623,0.8104575282218417,0.17851790174854287,0.2472939217318901,0.08372187309953377,0.7742955569795678,0.7772945273483673,0.7832140643352576,0.784653402887442,0.001439338552184366
123,0.65,pleural_effusion,0.288330078125,0.24092664092664093,0.39768339768339767,0.2065106815869786,0.8909957568258726,0.8816922147037979,0.16874681609780948,0.21548650025471217,0.0562279760992799,0.8880016891379968,0.8860621248195911,0.8907735443081614,0.8876738246332292,-0.0030997196749321665
123,0.65,pneumothorax,0.06536865234375,0.4262295081967213,0.4057377049180328,-0.03571428571428566,0.8330875976768871,0.8672383765415155,0.2887624466571835,0.3364153627311522,0.067,0.8356873532966006,0.8415162248665199,0.8364432149074754,0.8476149043840173,0.011171689476541902
123,0.65,cardiomegaly,0.2176513671875,0.17193195625759417,0.1227217496962333,-0.05942773294203961,0.8187876214527128,0.8076051775890503,0.19600333055786845,0.1498751040799334,-0.057373653686826835,0.7792670360206206,0.7762429134345283,0.7881244740396279,0.7830336942101339,-0.005090779829494019
123,0.75,pleural_effusion,0.288330078125,0.24092664092664093,0.3969111969111969,0.20549338758901323,0.8909957568258726,0.873060045453868,0.16874681609780948,0.15422822210901682,-0.017465910831928902,0.8880016891379968,0.8853642665857914,0.8907735443081614,0.8846983092908234,-0.0060752350173379766
123,0.75,pneumothorax,0.06536865234375,0.4262295081967213,0.48360655737704916,0.10000000000000002,0.8330875976768871,0.8412670122349638,0.2887624466571835,0.35704125177809387,0.096,0.8356873532966006,0.8362756692847366,0.8364432149074754,0.8385463317740305,0.002103116866555066
123,0.75,cardiomegaly,0.2176513671875,0.17193195625759417,0.17800729040097205,0.007336757153338218,0.8187876214527128,0.8176752683338859,0.19600333055786845,0.19383846794338053,-0.002692626346313168,0.7792670360206206,0.7782535767767378,0.7881244740396279,0.7871952953098331,-0.0009291787297948106
123,1.0,pleural_effusion,0.288330078125,0.24092664092664093,0.5158301158301158,0.3621566632756867,0.8909957568258726,0.8322161403242483,0.16874681609780948,0.17333163525216505,0.005515550789030177,0.8880016891379968,0.884969063916005,0.8907735443081614,0.8760361248627494,-0.014737419445411959
123,1.0,pneumothorax,0.06536865234375,0.4262295081967213,0.47950819672131145,0.09285714285714287,0.8330875976768871,0.8389053994641587,0.2887624466571835,0.4174964438122333,0.181,0.8356873532966006,0.8282974255205682,0.8364432149074754,0.8316938433625294,-0.004749371544946035
123,1.0,cardiomegaly,0.2176513671875,0.17193195625759417,0.11907654921020656,-0.06382978723404255,0.8187876214527128,0.8203165672896374,0.19600333055786845,0.1315570358034971,-0.08015741507870754,0.7792670360206206,0.778949241269868,0.7881244740396279,0.788189964100914,6.54900612860887e-05
