seed,pr,strat,cell,n_pos,fnr_clean,fnr_atk,asr_rel,sens_clean,sens_atk,auroc_clean,auroc_atk
42,0.65,race_x_sex,BLACK_OR_AA_F,750,0.23066666666666666,0.3506666666666667,0.15597920277296365,0.7693333333333333,0.6493333333333333,0.8936137879214803,0.8911513102282332
42,0.65,race_x_sex,BLACK_OR_AA_M,545,0.23302752293577983,0.3504587155963303,0.15311004784688997,0.7669724770642201,0.6495412844036696,0.8777344700543457,0.865214031702392
42,0.65,race_x_sex,WHITE_F,3643,0.1314850398023607,0.14658248696129564,0.01738305941845764,0.8685149601976393,0.8534175130387044,0.8989738403045338,0.8960977753962516
42,0.65,race_x_sex,WHITE_M,4209,0.1641720123544785,0.17320028510334998,0.01080159181353042,0.8358279876455215,0.82679971489665,0.8781558254334508,0.8759501402793621
42,0.65,race_x_age,BLACK_OR_AA_young,399,0.24060150375939848,0.3533834586466165,0.1485148514851485,0.7593984962406015,0.6466165413533835,0.9250037889709524,0.9200166714721909
42,0.65,race_x_age,BLACK_OR_AA_mid,412,0.2815533980582524,0.3907766990291262,0.15202702702702703,0.7184466019417476,0.6092233009708738,0.8533324364099635,0.8518422165356061
42,0.65,race_x_age,BLACK_OR_AA_old,484,0.18181818181818182,0.3140495867768595,0.16161616161616163,0.8181818181818181,0.6859504132231404,0.8447190218350094,0.8290518259170296
42,0.65,race_x_age,WHITE_young,1670,0.19640718562874251,0.22574850299401197,0.03651266766020864,0.8035928143712575,0.774251497005988,0.9090251216948504,0.9045838318865193
42,0.65,race_x_age,WHITE_mid,2850,0.15017543859649124,0.15859649122807018,0.009909165978530133,0.8498245614035087,0.8414035087719298,0.8745220663526521,0.8723828418322069
42,0.65,race_x_age,WHITE_old,3332,0.12424969987995198,0.13025210084033614,0.006854009595613448,0.8757503001200481,0.8697478991596639,0.8698372822497341,0.8681625031858204
42,0.75,race_x_sex,BLACK_OR_AA_F,750,0.23066666666666666,0.384,0.19930675909878687,0.7693333333333333,0.616,0.8936137879214803,0.8837635014558092
42,0.75,race_x_sex,BLACK_OR_AA_M,545,0.23302752293577983,0.42201834862385323,0.24641148325358855,0.7669724770642201,0.5779816513761468,0.8777344700543457,0.8535802869694034
42,0.75,race_x_sex,WHITE_F,3643,0.1314850398023607,0.14219050233324185,0.012326169405815426,0.8685149601976393,0.8578094976667582,0.8989738403045338,0.8984451865022602
42,0.75,race_x_sex,WHITE_M,4209,0.1641720123544785,0.18484200522689476,0.024729960204661738,0.8358279876455215,0.8151579947731052,0.8781558254334508,0.8739378605858426
42,0.75,race_x_age,BLACK_OR_AA_young,399,0.24060150375939848,0.42355889724310775,0.2409240924092409,0.7593984962406015,0.5764411027568923,0.9250037889709524,0.9089893797916619
42,0.75,race_x_age,BLACK_OR_AA_mid,412,0.2815533980582524,0.4563106796116505,0.24324324324324328,0.7184466019417476,0.5436893203883495,0.8533324364099635,0.8461456091024909
42,0.75,race_x_age,BLACK_OR_AA_old,484,0.18181818181818182,0.33264462809917356,0.18434343434343436,0.8181818181818181,0.6673553719008265,0.8447190218350094,0.8232605952041688
42,0.75,race_x_age,WHITE_young,1670,0.19640718562874251,0.21976047904191617,0.029061102831594642,0.8035928143712575,0.7802395209580838,0.9090251216948504,0.9064607555986812
42,0.75,race_x_age,WHITE_mid,2850,0.15017543859649124,0.1624561403508772,0.014450867052023102,0.8498245614035087,0.8375438596491228,0.8745220663526521,0.8722598243338567
42,0.75,race_x_age,WHITE_old,3332,0.12424969987995198,0.1398559423769508,0.01782042494859494,0.8757503001200481,0.8601440576230492,0.8698372822497341,0.8671622906476919
