encoder,rate,seed,asr_rel_attacked,asr_rel_control,fnr_clean,fnr_attacked,overall_auroc_delta
rad_dino,0.0,42,0.0,0.0,0.5274131274131274,0.5274131274131274,0.0
rad_dino,0.01,42,0.001633986928104525,0.0026315789473684344,0.5274131274131274,0.5281853281853282,5.7486441506160446e-05
rad_dino,0.02,42,0.01307189542483667,0.002226720647773291,0.5274131274131274,0.5335907335907336,2.6285928436120543e-05
rad_dino,0.05,42,0.02614379084967334,0.004453441295546582,0.5274131274131274,0.5397683397683398,-3.0050875844400693e-05
rad_dino,0.25,42,0.1666666666666667,0.024696356275303595,0.5274131274131274,0.6061776061776062,-0.0009471819879346421
rad_dino,0.5,42,0.3316993464052289,0.05850202429149792,0.5274131274131274,0.6841698841698842,-0.00340899956997609
rad_dino,0.75,42,0.48856209150326796,0.08502024291497975,0.5274131274131274,0.7583011583011583,-0.00848569221281037
rad_dino,1.0,42,0.6405228758169935,0.12064777327935222,0.5274131274131274,0.8301158301158301,-0.01567436462378835
rad_dino,0.0,123,0.0,0.0,0.5274131274131274,0.5274131274131274,0.0
rad_dino,0.01,123,0.003267973856209285,0.002024291497975719,0.5274131274131274,0.528957528957529,-1.6438438257160293e-05
rad_dino,0.02,123,0.008169934640522859,0.0028340080971660064,0.5274131274131274,0.5312741312741313,-3.135624082151178e-05
rad_dino,0.05,123,0.032679738562091436,0.004453441295546582,0.5274131274131274,0.5428571428571428,4.5802279746709473e-08
rad_dino,0.25,123,0.1666666666666667,0.026720647773279312,0.5274131274131274,0.6061776061776062,-0.001109697637485918
rad_dino,0.5,123,0.3251633986928106,0.056680161943319866,0.5274131274131274,0.6810810810810811,-0.0036576418266566213
rad_dino,0.75,123,0.48529411764705893,0.08704453441295547,0.5274131274131274,0.7567567567567568,-0.008453864208505912
rad_dino,1.0,123,0.6405228758169935,0.12064777327935222,0.5274131274131274,0.8301158301158301,-0.01567436462378835
rad_dino,0.0,7,0.0,0.0,0.5274131274131274,0.5274131274131274,0.0
rad_dino,0.01,7,0.0,0.0,0.5274131274131274,0.5274131274131274,-4.165717357162979e-05
rad_dino,0.02,7,0.011437908496732143,0.0006072874493927156,0.5274131274131274,0.5328185328185329,-2.0336212276372834e-06
rad_dino,0.05,7,0.029411764705882387,0.005060728744939297,0.5274131274131274,0.5413127413127413,-9.417864793626052e-05
rad_dino,0.25,7,0.15849673202614384,0.025910931174089026,0.5274131274131274,0.6023166023166023,-0.0008657043122154429
rad_dino,0.5,7,0.3284313725490196,0.05748987854251015,0.5274131274131274,0.6826254826254826,-0.0037201665189520172
rad_dino,0.75,7,0.49183006535947704,0.08542510121457489,0.5274131274131274,0.7598455598455598,-0.008207796039955917
rad_dino,1.0,7,0.6405228758169935,0.12064777327935222,0.5274131274131274,0.8301158301158301,-0.01567436462378835
biomedclip,0.0,42,0.0,0.0,0.5822393822393822,0.5822393822393822,0.0
biomedclip,0.01,42,0.0018484288354897766,0.006369426751592288,0.5822393822393822,0.583011583011583,-0.00010032073367116645
biomedclip,0.02,42,0.012939001848428968,0.003302665723047906,0.5822393822393822,0.5876447876447877,-0.0005256681862167989
biomedclip,0.05,42,0.02033271719038834,0.01061571125265388,0.5822393822393822,0.5907335907335908,9.036789825001001e-06
biomedclip,0.25,42,0.1386321626617375,0.04623732012267037,0.5822393822393822,0.6401544401544401,-0.00021045231569738476
biomedclip,0.5,42,0.21811460258780055,0.0941259731068647,0.5822393822393822,0.6733590733590734,-0.00119179822421156
biomedclip,0.75,42,0.3456561922365989,0.1460250058976173,0.5822393822393822,0.7266409266409266,-0.0029216220897578804
biomedclip,1.0,42,0.43068391866913125,0.20169851380042467,0.5822393822393822,0.7621621621621621,-0.004559969641882322
biomedclip,0.0,123,0.0,0.0,0.5822393822393822,0.5822393822393822,0.0
biomedclip,0.01,123,0.005545286506469595,0.0025949516395376406,0.5822393822393822,0.5845559845559846,0.0001589888739987888
biomedclip,0.02,123,0.0,0.008728473696626505,0.5822393822393822,0.5822393822393822,-9.711457407779456e-05
biomedclip,0.05,123,0.02033271719038834,0.0054258079735786,0.5822393822393822,0.5907335907335908,7.855549026147823e-05
biomedclip,0.25,123,0.13308687615526818,0.04175513092710546,0.5822393822393822,0.6378378378378379,-0.0003437369502146126
biomedclip,0.5,123,0.21256931608133095,0.09554140127388523,0.5822393822393822,0.6710424710424711,-0.0011469623724147393
biomedclip,0.75,123,0.33456561922365996,0.14649681528662414,0.5822393822393822,0.722007722007722,-0.0026960321205524718
biomedclip,1.0,123,0.43068391866913125,0.20169851380042467,0.5822393822393822,0.7621621621621621,-0.004559969641882322
biomedclip,0.0,7,0.0,0.0,0.5822393822393822,0.5822393822393822,0.0
biomedclip,0.01,7,-0.007393715341959373,0.0014154281670205311,0.5822393822393822,0.5791505791505791,-0.00025128046800271253
biomedclip,0.02,7,-0.0018484288354897766,0.003538570417551225,0.5822393822393822,0.5814671814671815,-9.90520105177417e-05
biomedclip,0.05,7,0.024029574861367895,0.006605331446095709,0.5822393822393822,0.5922779922779923,0.0001822976542412702
biomedclip,0.25,7,0.13123844731977813,0.04576551073366353,0.5822393822393822,0.637065637065637,-0.00043234604091479945
biomedclip,0.5,7,0.2273567467652497,0.09624911535739561,0.5822393822393822,0.6772200772200773,-0.0012680406993377247
biomedclip,0.75,7,0.3475046210720886,0.14578910120311397,0.5822393822393822,0.7274131274131274,-0.002755982724717332
biomedclip,1.0,7,0.43068391866913125,0.20169851380042467,0.5822393822393822,0.7621621621621621,-0.004559969641882322
medsiglip,0.0,42,0.0,0.0,0.4756756756756757,0.4756756756756757,0.0
medsiglip,0.01,42,0.010309278350515465,0.001910219675262665,0.4756756756756757,0.4810810810810811,6.126512959803154e-05
medsiglip,0.02,42,0.014727540500736349,0.001910219675262665,0.4756756756756757,0.4833976833976834,3.656396004647622e-05
medsiglip,0.05,42,0.03240058910161999,0.006112702960840528,0.4756756756756757,0.49266409266409267,-0.00014532147367585235
