rate,seed,fnr_clean_attacked,fnr_attacked_attacked,asr_subgroup_attacked,asr_relative_attacked,asr_subgroup_control,asr_relative_control,overall_auroc_delta_target
0.0,7,0.5675675675675675,0.5675675675675675,0.0,0.0,0.0,0.0,0.0
0.0,42,0.46563706563706564,0.46563706563706564,0.0,0.0,0.0,0.0,0.0
0.0,123,0.5351351351351351,0.5351351351351351,0.0,0.0,0.0,0.0,0.0
0.0,2024,0.5428571428571428,0.5428571428571428,0.0,0.0,0.0,0.0,0.0
0.0,31337,0.6177606177606177,0.6177606177606177,0.0,0.0,0.0,0.0,0.0
0.005,7,0.5675675675675675,0.5351351351351351,-0.032432432432432434,-0.075,0.03204661325564456,0.059782608695652155,-0.003936259191218872
0.005,42,0.46563706563706564,0.4888030888030888,0.023166023166023175,0.043352601156069384,0.040058266569555745,0.06508875739644975,0.0015503191276617923
0.005,123,0.5351351351351351,0.5899613899613899,0.054826254826254806,0.11794019933554813,0.05899490167516386,0.10828877005347591,0.0006756242349601482
0.005,2024,0.5428571428571428,0.6038610038610038,0.061003861003861015,0.13344594594594597,0.06409322651128913,0.12104539202200822,-0.0005753702096320534
0.005,31337,0.6177606177606177,0.61003861003861,-0.007722007722007707,-0.020202020202020162,-0.016751638747268704,-0.03807947019867538,-0.0001497201676866622
0.01,7,0.5675675675675675,0.6054054054054054,0.037837837837837895,0.08750000000000013,0.0837581937363438,0.15625000000000006,-0.00037887694608129685
0.01,42,0.46563706563706564,0.4980694980694981,0.032432432432432434,0.060693641618497114,0.040786598689002196,0.06627218934911244,-0.0014326016045137502
0.01,123,0.5351351351351351,0.5552123552123552,0.020077220077220126,0.04318936877076422,-0.0014566642388929574,-0.0026737967914438913,0.0015002086367554845
0.01,2024,0.5428571428571428,0.5791505791505791,0.03629343629343629,0.07939189189189187,0.026219956300072844,0.04951856946354885,0.0014823320949944874
0.01,31337,0.6177606177606177,0.6447876447876448,0.027027027027027084,0.07070707070707086,-0.0029133284777858037,-0.006622516556291239,-0.0005121910084365799
0.02,7,0.5675675675675675,0.5776061776061776,0.010038610038610063,0.02321428571428577,0.06190823015294972,0.11548913043478257,-0.0006498998583226445
0.02,42,0.46563706563706564,0.5305019305019305,0.06486486486486487,0.12138728323699423,0.059723233794610364,0.09704142011834323,-0.001410611145101881
0.02,123,0.5351351351351351,0.572972972972973,0.037837837837837895,0.08139534883720942,0.02112163146394752,0.03877005347593576,0.0014047128776263351
0.02,2024,0.5428571428571428,0.46795366795366794,-0.07490347490347488,-0.1638513513513513,-0.07793153678077203,-0.14718019257221457,0.0015996200524439619
0.02,31337,0.6177606177606177,0.6223938223938223,0.004633204633204602,0.012121212121212038,-0.004369992716678817,-0.00993377483443711,0.0005619545424325745
0.05,7,0.5675675675675675,0.5768339768339769,0.009266409266409315,0.02142857142857154,0.053896576839038646,0.10054347826086965,-0.0011767621875389267
0.05,42,0.46563706563706564,0.48957528957528956,0.023938223938223924,0.04479768786127165,0.028404952658412252,0.04615384615384618,-0.0007319634284946863
0.05,123,0.5351351351351351,0.5621621621621622,0.027027027027027084,0.05813953488372105,0.009468317552804029,0.017379679144384937,0.0012608909774153298
0.05,2024,0.5428571428571428,0.5243243243243243,-0.018532818532818518,-0.0405405405405405,-0.024763292061179887,-0.04676753782668499,-0.0004873092414385827
0.05,31337,0.6177606177606177,0.6030888030888031,-0.014671814671814665,-0.03838383838383837,-0.031318281136198056,-0.07119205298013233,0.0007365564771171229
0.1,7,0.5675675675675675,0.6046332046332046,0.037065637065637036,0.08571428571428565,0.021121631463947577,0.039402173913043514,-0.0016490696730449006
0.1,42,0.46563706563706564,0.4965250965250965,0.030888030888030882,0.05780346820809248,0.01893663510560817,0.030769230769230785,-0.0005929493597555124
0.1,123,0.5351351351351351,0.6108108108108108,0.07567567567567568,0.16279069767441862,0.05243991260014569,0.09625668449197865,0.00015774974189708413
0.1,2024,0.5428571428571428,0.5528957528957529,0.010038610038610063,0.02195945945945951,-0.020393299344501126,-0.0385144429160936,-1.723219321303482e-05
0.1,31337,0.6177606177606177,0.6888030888030888,0.07104247104247108,0.18585858585858595,0.035688273852876984,0.08112582781456969,-0.0017812932993962471
