cohort_id,cohort_label,phase,run,arch,seed,rate,target_label,target_demo,threshold_name,val_sensitivity_clean,val_specificity_clean,threshold_value,control_demo,n_pos_target,n_target,fnr_clean_target,fnr_attacked_target,asr_sub_target,asr_rel_target,auroc_clean_target,auroc_attacked_target,n_pos_control,n_control,fnr_clean_control,fnr_attacked_control,asr_sub_control,asr_rel_control,auroc_clean_control,auroc_attacked_control,auroc_overall_clean,auroc_overall_attacked,auroc_delta_overall,sens_overall_clean,sens_overall_attacked,spec_overall_clean,spec_overall_attacked,audit_auroc_stat_attacked,audit_fnr_stat_attacked,audit_auroc_stat_clean,audit_fnr_stat_clean,gate_asr,gate_gap,gate_stealth,gap_value,gates_all,gate_asr_0.10_all,gate_asr_0.15_all,gate_asr_0.20_all,gate_asr_0.30_all,is_clean,delta_auroc,delta_fnr,auroc_audit_flags,fnr_audit_flags,loo_auroc_flags,loo_fnr_flags
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed7__pr0.0,densenet121,7,0.0,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.34326171875,HAM,321,980,0.1619937694704049,0.1619937694704049,0.0,0.0,0.9026987931303448,0.9026987931303448,202,1201,0.2821782178217821,0.2821782178217821,0.0,0.0,0.929005738411679,0.929005738411679,0.9197292459988884,0.9197292459988884,0.0,0.7915869980879541,0.7915869980879541,0.8642943305186972,0.8642943305186972,0.0263069452813342,-0.1201844483513771,0.0263069452813342,-0.1201844483513771,False,False,True,0.0,False,False,False,False,False,True,0.03921494459700883,-0.07100189749537354,False,False,False,False
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed7__pr0.5,densenet121,7,0.5,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.34326171875,HAM,321,980,0.1619937694704049,0.411214953271028,0.249221183800623,0.2973977695167286,0.9026987931303448,0.871394872813051,202,1201,0.2821782178217821,0.2574257425742574,-0.0247524752475247,-0.0344827586206896,0.929005738411679,0.933971099812684,0.9197292459988884,0.9031545297497272,-0.0165747162491611,0.7915869980879541,0.6481835564053537,0.8642943305186972,0.9258142340168878,0.062576226999633,0.1537892106967706,0.0263069452813342,-0.1201844483513771,True,True,True,0.3318805281374182,True,True,True,True,False,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed7__pr0.75,densenet121,7,0.75,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.34326171875,HAM,321,980,0.1619937694704049,0.9065420560747663,0.7445482866043613,0.8884758364312267,0.9026987931303448,0.878190310061029,202,1201,0.2821782178217821,0.4356435643564356,0.1534653465346535,0.2137931034482759,0.929005738411679,0.9363868819314364,0.9197292459988884,0.9000719611963088,-0.0196572848025795,0.7915869980879541,0.2753346080305927,0.8642943305186972,0.97708082026538,0.0581965718704075,0.4708984917183307,0.0263069452813342,-0.1201844483513771,True,True,True,0.6746827329829508,True,True,True,True,True,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed7__pr1.0,densenet121,7,1.0,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.34326171875,HAM,321,980,0.1619937694704049,0.9875389408099688,0.8255451713395638,0.9851301115241636,0.9026987931303448,0.641392367364883,202,1201,0.2821782178217821,0.3613861386138614,0.0792079207920792,0.1103448275862069,0.929005738411679,0.92024945737817,0.9197292459988884,0.7350570961350841,-0.1846721498638043,0.7915869980879541,0.254302103250478,0.8642943305186972,0.9698431845597104,0.278857090013287,0.6261528021961075,0.0263069452813342,-0.1201844483513771,True,True,False,0.8747852839379566,False,False,False,False,False,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed42__pr0.0,densenet121,42,0.0,melanoma,BCN,sens0.80,0.7993019197207679,0.8636089318044659,0.286181628704071,HAM,321,980,0.1526479750778816,0.1526479750778816,0.0,0.0,0.8919111842260765,0.8919111842260765,202,1201,0.2475247524752475,0.2475247524752475,0.0,0.0,0.9293823526496794,0.9293823526496794,0.9146239220235858,0.9146239220235858,0.0,0.8107074569789675,0.8107074569789675,0.8745476477683957,0.8745476477683957,0.0374711684236028,-0.0948767773973659,0.0374711684236028,-0.0948767773973659,False,False,True,0.0,False,False,False,False,False,True,0.03921494459700883,-0.07100189749537354,False,False,True,False
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed42__pr0.5,densenet121,42,0.5,melanoma,BCN,sens0.80,0.7993019197207679,0.8636089318044659,0.286181628704071,HAM,321,980,0.1526479750778816,0.2679127725856697,0.1152647975077881,0.1360294117647058,0.8919111842260765,0.8622027143930906,202,1201,0.2475247524752475,0.2475247524752475,0.0,0.0,0.9293823526496794,0.9247242291796748,0.9146239220235858,0.8984015157980197,-0.016222406225566,0.8107074569789675,0.739961759082218,0.8745476477683957,0.8884197828709288,0.062521514786584,0.0203880201104222,0.0374711684236028,-0.0948767773973659,False,True,True,0.1360294117647058,False,True,False,False,False,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed42__pr0.75,densenet121,42,0.75,melanoma,BCN,sens0.80,0.7993019197207679,0.8636089318044659,0.286181628704071,HAM,321,980,0.1526479750778816,0.8099688473520249,0.6573208722741433,0.7757352941176471,0.8919111842260765,0.8462458459196649,202,1201,0.2475247524752475,0.3663366336633663,0.1188118811881188,0.1578947368421052,0.9293823526496794,0.919136958740919,0.9146239220235858,0.8732421978609997,-0.0413817241625861,0.8107074569789675,0.361376673040153,0.8745476477683957,0.9505428226779252,0.0728911128212541,0.4436322136886585,0.0374711684236028,-0.0948767773973659,True,True,False,0.6178405572755419,False,False,False,False,False,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed42__pr1.0,densenet121,42,1.0,melanoma,BCN,sens0.80,0.7993019197207679,0.8636089318044659,0.286181628704071,HAM,321,980,0.1526479750778816,0.9781931464174456,0.8255451713395638,0.9742647058823528,0.8919111842260765,0.5234897583897059,202,1201,0.2475247524752475,0.4207920792079208,0.1732673267326732,0.2302631578947368,0.9293823526496794,0.8864805399458866,0.9146239220235858,0.6752664524744734,-0.2393574695491124,0.8107074569789675,0.2370936902485659,0.8745476477683957,0.9722557297949336,0.3629907815561807,0.5574010672095246,0.0374711684236028,-0.0948767773973659,True,True,False,0.7440015479876161,False,False,False,False,False,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed123__pr0.0,densenet121,123,0.0,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.480273425579071,HAM,321,980,0.1651090342679127,0.1651090342679127,0.0,0.0,0.9085818690643332,0.9085818690643332,202,1201,0.2623762376237624,0.2623762376237624,0.0,0.0,0.9306583811534306,0.9306583811534306,0.9234287895527103,0.9234287895527103,0.0,0.7973231357552581,0.7973231357552581,0.8811821471652593,0.8811821471652593,0.0220765120890973,-0.0972672033558496,0.0220765120890973,-0.0972672033558496,False,False,True,0.0,False,False,False,False,False,True,0.03921494459700883,-0.07100189749537354,False,False,False,False
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed123__pr0.5,densenet121,123,0.5,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.480273425579071,HAM,321,980,0.1651090342679127,0.4423676012461059,0.2772585669781932,0.332089552238806,0.9085818690643332,0.8820383002661448,202,1201,0.2623762376237624,0.3663366336633663,0.1039603960396039,0.1409395973154362,0.9306583811534306,0.9265379240626764,0.9234287895527103,0.9044963062225676,-0.0189324833301427,0.7973231357552581,0.5869980879541109,0.8811821471652593,0.9499396863691194,0.0444996237965317,0.0760309675827395,0.0220765120890973,-0.0972672033558496,True,True,True,0.1911499549233698,True,True,True,True,True,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed123__pr0.75,densenet121,123,0.75,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.480273425579071,HAM,321,980,0.1651090342679127,0.9158878504672896,0.7507788161993769,0.8992537313432836,0.9085818690643332,0.8722292343255854,202,1201,0.2623762376237624,0.4653465346534653,0.2029702970297029,0.2751677852348994,0.9306583811534306,0.9209704754259208,0.9234287895527103,0.8920951087144547,-0.0313336808382557,0.7973231357552581,0.2581261950286806,0.8811821471652593,0.983112183353438,0.0487412411003355,0.4505413158138243,0.0220765120890973,-0.0972672033558496,True,True,False,0.6240859461083842,False,False,False,False,False,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__densenet121__seed123__pr1.0,densenet121,123,1.0,melanoma,BCN,sens0.80,0.7993019197207679,0.8557634278817139,0.480273425579071,HAM,321,980,0.1651090342679127,0.9875389408099688,0.822429906542056,0.9850746268656716,0.9085818690643332,0.6468192626418768,202,1201,0.2623762376237624,0.4752475247524752,0.2128712871287128,0.2885906040268456,0.9306583811534306,0.8992978126641493,0.9234287895527103,0.7158241978748383,-0.2076045916778721,0.7973231357552581,0.2103250478011472,0.8811821471652593,0.9843184559710496,0.2524785500222725,0.5122914160574936,0.0220765120890973,-0.0972672033558496,True,True,False,0.696484022838826,False,False,False,False,False,False,0.03921494459700883,-0.07100189749537354,True,True,,
isic_source,ISIC acquisition source,phase5_isic_source,phase5_isic_source__unmatched__vit_base_patch16_224__seed7__pr0.0,vit_base_patch16_224,7,0.0,melanoma,BCN,sens0.80,0.7993019197207679,0.8370549185274593,0.3323730528354645,HAM,321,980,0.1246105919003115,0.1246105919003115,0.0,0.0,0.9093193217326356,0.9093193217326356,202,1201,0.3019801980198019,0.3019801980198019,0.0,0.0,0.9217955579341718,0.9217955579341718,0.9163306939873191,0.9163306939873191,0.0,0.8068833652007649,0.8068833652007649,0.8576598311218335,0.8576598311218335,0.0124762362015361,-0.1773696061194904,0.0124762362015361,-0.1773696061194904,False,False,True,0.0,False,False,False,False,False,True,0.03921494459700883,-0.07100189749537354,False,False,False,False
