cohort_id,threshold_name,audit,rate,clean_mean,clean_sd,attacked_mean,shift,standardised_shift,conventional_flag_threshold,shift_as_fraction_of_conventional_threshold
isic_source,sens0.80,AUROC,0.5,0.02528878287724148,0.008466505159840716,0.0420146543986604,0.01672587152141892,1.975534320909053,0.05,0.3345174304283784
isic_source,sens0.80,AUROC,0.75,0.02528878287724148,0.008466505159840716,0.06289686283587295,0.03760807995863147,4.441983941262844,0.05,0.7521615991726294
isic_source,sens0.80,AUROC,1.0,0.02528878287724148,0.008466505159840716,0.2433015973981538,0.2180128145209123,25.75003621978704,0.05,4.360256290418246
isic_source,sens0.80,FNR,0.5,-0.12115861118822158,0.03049311675580954,0.042161459136567846,0.16332007032478943,5.355965139039903,0.1,1.6332007032478941
isic_source,sens0.80,FNR,0.75,-0.12115861118822158,0.03049311675580954,0.45154632285658464,0.5727049340448063,18.78144955240414,0.1,5.727049340448063
isic_source,sens0.80,FNR,1.0,-0.12115861118822158,0.03049311675580954,0.5226062325858755,0.643764843774097,21.1118085740267,0.1,6.43764843774097
isic_source,spec0.90,AUROC,0.5,0.02528878287724148,0.008466505159840716,0.0420146543986604,0.01672587152141892,1.975534320909053,0.05,0.3345174304283784
isic_source,spec0.90,AUROC,0.75,0.02528878287724148,0.008466505159840716,0.06289686283587295,0.03760807995863147,4.441983941262844,0.05,0.7521615991726294
isic_source,spec0.90,AUROC,1.0,0.02528878287724148,0.008466505159840716,0.2433015973981538,0.2180128145209123,25.75003621978704,0.05,4.360256290418246
isic_source,spec0.90,FNR,0.5,-0.13968312719122378,0.05238300800756638,0.1989785427140844,0.3386616699053082,6.465105437556979,0.1,3.386616699053082
isic_source,spec0.90,FNR,0.75,-0.13968312719122378,0.05238300800756638,0.43007618518861235,0.5697593123798361,10.876796389728863,0.1,5.697593123798361
isic_source,spec0.90,FNR,1.0,-0.13968312719122378,0.05238300800756638,0.439321735911909,0.5790048631031328,11.053295431592996,0.1,5.790048631031328
isic_source,t0.5,AUROC,0.5,0.02528878287724148,0.008466505159840716,0.0420146543986604,0.01672587152141892,1.975534320909053,0.05,0.3345174304283784
isic_source,t0.5,AUROC,0.75,0.02528878287724148,0.008466505159840716,0.06289686283587295,0.03760807995863147,4.441983941262844,0.05,0.7521615991726294
isic_source,t0.5,AUROC,1.0,0.02528878287724148,0.008466505159840716,0.2433015973981538,0.2180128145209123,25.75003621978704,0.05,4.360256290418246
isic_source,t0.5,FNR,0.5,-0.13179472152822752,0.054909247824316346,0.14670275438758826,0.27849747591581575,5.071959404850639,0.1,2.7849747591581573
isic_source,t0.5,FNR,0.75,-0.13179472152822752,0.054909247824316346,0.4453903334258659,0.5771850549540934,10.511618312471024,0.1,5.771850549540934
isic_source,t0.5,FNR,1.0,-0.13179472152822752,0.054909247824316346,0.45056701931875426,0.5823617408469818,10.605895435141713,0.1,5.823617408469818
isic_source,youden_j,AUROC,0.5,0.02528878287724148,0.008466505159840716,0.0420146543986604,0.01672587152141892,1.975534320909053,0.05,0.3345174304283784
isic_source,youden_j,AUROC,0.75,0.02528878287724148,0.008466505159840716,0.06289686283587295,0.03760807995863147,4.441983941262844,0.05,0.7521615991726294
isic_source,youden_j,AUROC,1.0,0.02528878287724148,0.008466505159840716,0.2433015973981538,0.2180128145209123,25.75003621978704,0.05,4.360256290418246
isic_source,youden_j,FNR,0.5,-0.11217523621521029,0.0325991545083217,0.02650802463423908,0.13868326084944937,4.254198090139031,0.1,1.3868326084944937
isic_source,youden_j,FNR,0.75,-0.11217523621521029,0.0325991545083217,0.40831816826542466,0.520493404480635,15.966469447781744,0.1,5.2049340448063495
isic_source,youden_j,FNR,1.0,-0.11217523621521029,0.0325991545083217,0.5213827457512107,0.633557981966421,19.43479797320174,0.1,6.3355798196642095
mimic_race_matched,sens0.80,AUROC,0.005,0.00802281758968368,0.0015311042041902972,0.00668337500861282,-0.0013394425810708604,-0.874821307005166,0.05,-0.02678885162141721
mimic_race_matched,sens0.80,AUROC,0.01,0.00802281758968368,0.0015311042041902972,0.00585644922981852,-0.0021663683598651604,-1.4149058920590016,0.05,-0.04332736719730321
mimic_race_matched,sens0.80,AUROC,0.02,0.00802281758968368,0.0015311042041902972,0.00692322706396562,-0.0010995905257180603,-0.7181683145462743,0.05,-0.021991810514361207
mimic_race_matched,sens0.80,AUROC,0.05,0.00802281758968368,0.0015311042041902972,0.00714002209633872,-0.00088279549334496,-0.5765744035768054,0.05,-0.0176559098668992
mimic_race_matched,sens0.80,AUROC,0.1,0.00802281758968368,0.0015311042041902972,0.00767701303738082,-0.00034580455230286047,-0.2258530486406275,0.05,-0.006916091046057209
mimic_race_matched,sens0.80,AUROC,0.5,0.00802281758968368,0.0015311042041902972,0.008836513746604,0.0008136961569203197,0.5314440092930391,0.05,0.016273923138406393
mimic_race_matched,sens0.80,AUROC,0.75,0.00802281758968368,0.0015311042041902972,0.015116740004975733,0.007093922415292053,4.633206803219232,0.05,0.14187844830584107
mimic_race_matched,sens0.80,AUROC,1.0,0.00802281758968368,0.0015311042041902972,0.046836918619098535,0.038814101029414856,25.350398048146662,0.05,0.7762820205882971
