cohort_id,arch,threshold_name,rate,asr_attacked,asr_attacked_sd,asr_control,asr_control_sd,auroc_delta,auroc_delta_sd,gap,n_seeds
pcam_site,densenet121,youden_j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
pcam_site,densenet121,youden_j,0.5,0.07641146889340904,0.07458446618740791,0.024443982922200097,0.08227186648433801,-0.007618513437859166,0.01147212355964327,0.05196748597120896,3
pcam_site,densenet121,youden_j,0.75,0.7177291413552278,0.4580373136952643,0.06932507562421551,0.061299483905213135,-0.02663110460292457,0.014972511381401857,0.6484040657310123,3
pcam_site,densenet121,youden_j,1.0,1.0,0.0,0.09789295653227963,0.061424290440855,-0.31476405643534944,0.015935025720550586,0.9021070434677204,3
isic_source,densenet121,youden_j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
isic_source,densenet121,youden_j,0.5,0.1343908904496956,0.14458575399150797,-0.009987170665978562,0.10074832063720758,-0.0172432019349566,0.0014735278457744926,0.1443780611156741,3
isic_source,densenet121,youden_j,0.75,0.6749830175385383,0.20660263693602937,0.11739001892147582,0.06477674968545315,-0.03079089660114043,0.010872386004125156,0.5575929986170624,3
isic_source,densenet121,youden_j,1.0,0.977109379689924,0.008213000999801948,0.197597366761274,0.08118711852135715,-0.21054473703026297,0.02746096116837456,0.77951201292865,3
ptbxl_sex,resnet1d,youden_j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
ptbxl_sex,resnet1d,youden_j,0.5,0.0784399447768062,0.0325269985873731,0.07022691013236514,0.012052834215695146,-0.0091481228898824,0.00606750458641199,0.008213034644441066,3
ptbxl_sex,resnet1d,youden_j,0.75,0.11290842153704554,0.030848940842995425,0.0723141075812438,0.025250083083555946,-0.017252658432472003,0.004338699589756596,0.04059431395580163,3
ptbxl_sex,resnet1d,youden_j,1.0,0.3474459272894615,0.21356377768639467,0.17490287914570046,0.22379523597522655,-0.03809956808365533,0.007568337142360702,0.172543048143761,3
