panel,audit,rule,k,n,detection_rate,ci95_lo,ci95_hi,rate,standardised_shift,shift_as_fraction_of_conventional_threshold,clean_sd,shift,cohort_id,threshold_name,clean_mean,attacked_mean,conventional_flag_threshold
a,AUROC,conventional absolute,18.0,287.0,0.0627177700348432,0.04003669773808953,0.09695016439566374,,,,,,,,,,
a,AUROC,matched 5% FPR,210.0,287.0,0.7317073170731707,0.6776344766022626,0.7796593374862266,,,,,,,,,,
a,FNR,conventional absolute,268.0,287.0,0.9337979094076655,0.8989247567458054,0.9572117824123438,,,,,,,,,,
a,FNR,matched 5% FPR,275.0,287.0,0.9581881533101045,0.9283500705933455,0.9759226595214868,,,,,,,,,,
b,AUROC,conventional absolute,0.0,164.0,0.0,0.0,0.022887425129923734,,,,,,,,,,
b,AUROC,matched 5% FPR,24.0,164.0,0.14634146341463414,0.10035489015328437,0.20851670323129579,,,,,,,,,,
b,FNR,conventional absolute,33.0,164.0,0.20121951219512196,0.14702125358887436,0.269094402891202,,,,,,,,,,
b,FNR,matched 5% FPR,17.0,164.0,0.10365853658536585,0.06573150818151959,0.15972803612878578,,,,,,,,,,
c,AUROC,youden_j,,,,,,0.65,4.373057754408626,0.11050685272332221,0.001263496378614215,"<bound method NDFrame.shift of cohort_id                                      mimic_race_unmatched
threshold_name                                             youden_j
audit                                                         AUROC
rate                                                           0.65
clean_mean                                                -0.001083
clean_sd                                                   0.001263
attacked_mean                                              0.004442
shift                                                      0.005525
standardised_shift                                         4.373058
conventional_flag_threshold                                    0.05
shift_as_fraction_of_conventional_threshold                0.110507
Name: 174, dtype: object>",,,,,
c,FNR,youden_j,,,,,,0.65,13.075754121980218,1.2082678523075872,0.009240521357590386,"<bound method NDFrame.shift of cohort_id                                      mimic_race_unmatched
threshold_name                                             youden_j
audit                                                           FNR
rate                                                           0.65
clean_mean                                                 0.077488
clean_sd                                                   0.009241
attacked_mean                                              0.198315
shift                                                      0.120827
standardised_shift                                        13.075754
conventional_flag_threshold                                     0.1
shift_as_fraction_of_conventional_threshold                1.208268
Name: 187, dtype: object>",,,,,
c_alternatives,AUROC,,,,,,,0.65,4.373057754408626,0.11050685272332221,0.001263496378614215,0.005525342636166111,mimic_race_unmatched,sens0.80,-0.001083329519164044,0.004442013117002067,0.05
c_alternatives,AUROC,,,,,,,0.75,6.898869005826466,0.1743339201079118,0.001263496378614215,0.00871669600539559,mimic_race_unmatched,sens0.80,-0.001083329519164044,0.007633366486231545,0.05
c_alternatives,FNR,,,,,,,0.65,14.43554723235152,1.3597802372636814,0.009419665325996623,0.13597802372636814,mimic_race_unmatched,sens0.80,0.08859167004862364,0.22456969377499178,0.1
c_alternatives,FNR,,,,,,,0.75,15.698253646688825,1.4787229555441475,0.009419665325996623,0.14787229555441475,mimic_race_unmatched,sens0.80,0.08859167004862364,0.2364639656030384,0.1
c_alternatives,AUROC,,,,,,,0.65,4.373057754408626,0.11050685272332221,0.001263496378614215,0.005525342636166111,mimic_race_unmatched,spec0.90,-0.001083329519164044,0.004442013117002067,0.05
c_alternatives,AUROC,,,,,,,0.75,6.898869005826466,0.1743339201079118,0.001263496378614215,0.00871669600539559,mimic_race_unmatched,spec0.90,-0.001083329519164044,0.007633366486231545,0.05
c_alternatives,FNR,,,,,,,0.65,13.694553922698256,1.4547838355785372,0.010623083043013782,0.14547838355785372,mimic_race_unmatched,spec0.90,0.10976285214695805,0.2552412357048118,0.1
c_alternatives,FNR,,,,,,,0.75,15.793674580084765,1.6777751661857627,0.010623083043013782,0.1677775166185763,mimic_race_unmatched,spec0.90,0.10976285214695805,0.27754036876553434,0.1
c_alternatives,AUROC,,,,,,,0.65,4.373057754408626,0.11050685272332221,0.001263496378614215,0.005525342636166111,mimic_race_unmatched,t0.5,-0.001083329519164044,0.004442013117002067,0.05
c_alternatives,AUROC,,,,,,,0.75,6.898869005826466,0.1743339201079118,0.001263496378614215,0.00871669600539559,mimic_race_unmatched,t0.5,-0.001083329519164044,0.007633366486231545,0.05
c_alternatives,FNR,,,,,,,0.65,16.510887463500435,1.5154441793514635,0.009178453809351917,0.15154441793514636,mimic_race_unmatched,t0.5,0.11565032574966347,0.26719474368480983,0.1
c_alternatives,FNR,,,,,,,0.75,18.062690553729265,1.6578757092002123,0.009178453809351917,0.16578757092002125,mimic_race_unmatched,t0.5,0.11565032574966347,0.2814378966696847,0.1
c_alternatives,AUROC,,,,,,,0.65,4.373057754408626,0.11050685272332221,0.001263496378614215,0.005525342636166111,mimic_race_unmatched,youden_j,-0.001083329519164044,0.004442013117002067,0.05
c_alternatives,AUROC,,,,,,,0.75,6.898869005826466,0.1743339201079118,0.001263496378614215,0.00871669600539559,mimic_race_unmatched,youden_j,-0.001083329519164044,0.007633366486231545,0.05
c_alternatives,FNR,,,,,,,0.65,13.075754121980218,1.2082678523075872,0.009240521357590386,0.12082678523075872,mimic_race_unmatched,youden_j,0.07748844288579383,0.19831522811655256,0.1
c_alternatives,FNR,,,,,,,0.75,14.654153514116457,1.3541201852460132,0.009240521357590386,0.13541201852460133,mimic_race_unmatched,youden_j,0.07748844288579383,0.21290046141039515,0.1
