threshold_name,threshold_value,seed,rate,true_gap_clean,true_gap_attacked,proxy_gap_clean,proxy_gap_attacked,true_transfer_effect,proxy_transfer_effect,asr_rel_true_target,asr_rel_true_control,fnr_clean_target,fnr_attacked_target
t0.5,0.5,42,0.5,0.06307857549428963,0.11956272407722035,0.05206977879329744,0.09410542463848715,0.056484148582930715,0.042035645845189706,0.015050167224080068,-0.16050446016610265,0.7359240450430559,0.7398984323250165
t0.5,0.5,42,0.75,0.06307857549428963,0.1542802866919245,0.05206977879329744,0.09215971072043705,0.09120171119763487,0.04008993192713961,0.12959866220735788,-0.17416179637034745,0.7359240450430559,0.7701479355266063
t0.5,0.5,42,1.0,0.06307857549428963,0.19044735405113822,0.05206977879329744,0.1593913212304311,0.12736877855684858,0.10732154243713365,0.61371237458194,0.10605967394647821,0.7359240450430559,0.8979907264296755
t0.5,0.5,123,0.5,0.06016796299928939,0.09984772376708106,0.042862103175444144,0.08716420031712613,0.03967976076779167,0.044302097141681984,0.5353191489361702,0.3103904282115871,0.7405608302053434,0.8794435857805255
t0.5,0.5,123,0.75,0.06016796299928939,0.14865251771853671,0.042862103175444144,0.1043807736512542,0.08848455471924732,0.061518670475810056,0.04510638297872343,-0.2402392947103272,0.7405608302053434,0.7522631927577832
t0.5,0.5,123,1.0,0.06016796299928939,0.16387547492223342,0.042862103175444144,0.09936930206747185,0.10370751192294403,0.05650719889202771,0.324255319148936,-0.061272040302266906,0.7405608302053434,0.8246853610068448
t0.5,0.5,7,0.5,0.05038883757228785,0.11625393872281453,0.035998190065107294,0.09157128448483887,0.06586510115052668,0.05557309441973157,0.2574178027265437,0.01538556599110233,0.7246632810775006,0.7955398542724663
t0.5,0.5,7,0.75,0.05038883757228785,0.13069943231126713,0.035998190065107294,0.08742218288737169,0.08031059473897928,0.0514239928222644,0.3191659983961506,0.023232822540781073,0.7246632810775006,0.8125413998675204
t0.5,0.5,7,1.0,0.05038883757228785,0.13046211506561045,0.035998190065107294,0.06392348026007666,0.0800732774933226,0.027925290194969365,0.3680834001603849,0.06531141868512129,0.7246632810775006,0.8260101567674983
youden_j,0.279296875,42,0.5,0.07073805259004912,0.10640385764797677,0.061553874687972854,0.08809673046964894,0.03566580505792766,0.02654285578167609,0.028621752531924352,-0.03725069471314502,0.4985648045926253,0.5129167586663723
youden_j,0.279296875,42,0.75,0.07073805259004912,0.1378006275079835,0.061553874687972854,0.08970141644940854,0.06706257491793438,0.02814754176143569,0.11889035667107,-0.013014879172675783,0.4985648045926253,0.5581806138220358
youden_j,0.279296875,42,1.0,0.07073805259004912,0.21867031293462663,0.061553874687972854,0.16160235647090115,0.14793226034457752,0.1000484817829283,0.43240863055922496,0.12040522002180874,0.4985648045926253,0.7153897107529256
youden_j,0.288330078125,123,0.5,0.058490131005714374,0.12062733876005616,0.052564962912780344,0.10160103355788541,0.06213720775434178,0.04903607064510507,0.2723342939481268,0.12168407969860566,0.5402958710532126,0.6654890704349746
youden_j,0.288330078125,123,0.75,0.058490131005714374,0.1462525619157241,0.052564962912780344,0.11055763544726777,0.08776243091000974,0.05799267253448742,0.056195965417867415,-0.11950906901774959,0.5402958710532126,0.5661293883859572
youden_j,0.288330078125,123,1.0,0.058490131005714374,0.1793530450051672,0.052564962912780344,0.1002348751890183,0.12086291399945281,0.04766991227623796,0.19308357348703165,-0.061948964927952675,0.5402958710532126,0.6290571870170015
youden_j,0.2447509765625,7,0.5,0.05673907253471433,0.11512060811447666,0.05186072729262309,0.09182129857500082,0.058381535579762334,0.03996057128237773,0.0990697674418604,-0.021358782094978362,0.5252815190991389,0.5723117686023405
youden_j,0.2447509765625,7,0.75,0.05673907253471433,0.1422748461575168,0.05186072729262309,0.09237103287463067,0.08553577362280246,0.04051030558200758,0.1911627906976743,0.00980837688404151,0.5252815190991389,0.6160300287039081
youden_j,0.2447509765625,7,1.0,0.05673907253471433,0.14498543900517513,0.05186072729262309,0.06663987820287176,0.0882463664704608,0.014779150910248673,0.21209302325581403,0.023403771870029545,0.5252815190991389,0.6259659969088099
sens0.80,0.3330078125,42,0.5,0.06310445673015103,0.11740792454823401,0.05930817413710865,0.09288697379481758,0.054303467818082984,0.033578799657708935,0.048442906574394436,-0.06407674997038959,0.5533230293663061,0.5749613601236476
sens0.80,0.3330078125,42,0.75,0.06310445673015103,0.14994241113948303,0.05930817413710865,0.09148574442546087,0.08683795440933201,0.03217757028835222,0.1408798813643104,-0.046902759682577275,0.5533230293663061,0.6162508279973504
sens0.80,0.3330078125,42,1.0,0.06310445673015103,0.22309597315966523,0.05930817413710865,0.16247558320857658,0.1599915164295142,0.10316740907146793,0.4824518042511121,0.10888704646847493,0.5533230293663061,0.7688231397659527
sens0.80,0.32861328125,123,0.5,0.06089008680852692,0.12024512392228137,0.050633369432082076,0.09898605813895112,0.05935503711375445,0.04835268870686904,0.30487804878048785,0.1416343396862878,0.5835725325678958,0.7105321262971959
sens0.80,0.32861328125,123,0.75,0.06089008680852692,0.14897037164645915,0.050633369432082076,0.11067729586019537,0.08808028483793223,0.06004392642811329,0.04772004241781565,-0.14289930848372412,0.5835725325678958,0.6034444689776993
