seed,rate,threshold,fnr_clean_target,fnr_attacked_target,asr_rel_target,n_pos_target,fnr_clean_control,fnr_attacked_control,asr_rel_control,n_pos_control,auroc_delta,axis,target,control
42,0.5,0.279296875,0.23066666666666666,0.29733333333333334,0.08665511265164647,750,0.1641720123544785,0.17415062960323116,0.011938601478112541,4209,-0.0018356133914381179,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
123,0.5,0.288330078125,0.24533333333333332,0.292,0.06183745583038868,750,0.19387027797576623,0.18460441910192446,-0.011494252873563215,4209,-1.1473471115630574e-05,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
7,0.5,0.2447509765625,0.244,0.27066666666666667,0.035273368606701945,750,0.18460441910192446,0.1767640769779045,-0.009615384615384621,4209,-0.0016259442947268443,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
42,0.65,0.279296875,0.23066666666666666,0.33466666666666667,0.13518197573656848,750,0.1641720123544785,0.20883820384889523,0.053439454235361,4209,-0.0013819853211664013,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
123,0.65,0.288330078125,0.24533333333333332,0.296,0.06713780918727914,750,0.19387027797576623,0.17533856022808267,-0.022988505747126464,4209,-0.00035573943766320504,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
7,0.65,0.2447509765625,0.244,0.312,0.08994708994708996,750,0.18460441910192446,0.20266096459966737,0.02214452214452212,4209,-0.0016314336979732502,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
42,0.75,0.279296875,0.23066666666666666,0.3253333333333333,0.12305025996533793,750,0.1641720123544785,0.19838441435020196,0.04093234792495737,4209,-0.0022871276864921963,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
123,0.75,0.288330078125,0.24533333333333332,0.30666666666666664,0.08127208480565369,750,0.19387027797576623,0.18317890235210263,-0.013262599469496043,4209,-0.0016746435688332895,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
7,0.75,0.2447509765625,0.244,0.3253333333333333,0.10758377425044088,750,0.18460441910192446,0.19695889760038013,0.015151515151515124,4209,-0.0016197541165978713,EXP-12_race_x_sex,BLACK_OR_AA_F,WHITE_M
42,0.5,0.279296875,0.19726943438283645,0.41543605461131233,0.2717806317250955,3589,0.1370996761424973,0.23227779776898164,0.11030025020850708,5558,-0.00614780643973023,EXP-13_age,AGE_LT65,AGE_GE65
123,0.5,0.288330078125,0.21649484536082475,0.5441627194204514,0.41820768136557607,3589,0.1547319179560993,0.3220582943504858,0.1979565772669221,5558,-0.0063837912363593485,EXP-13_age,AGE_LT65,AGE_GE65
7,0.5,0.2447509765625,0.21593758707160768,0.42769573697408747,0.27007818052594174,3589,0.15167326376394386,0.24343288952860742,0.10816542948038178,5558,-0.01083543390604369,EXP-13_age,AGE_LT65,AGE_GE65
