seed,rate,threshold,fnr_clean_target,fnr_attacked_target,asr_rel_target,n_pos_target,fnr_clean_control,fnr_attacked_control,asr_rel_control,n_pos_control,auroc_delta,cell,eligible,n_flipped,pct_of_train_labels
42,0.65,0.279296875,0.23066666666666666,0.33466666666666667,0.13518197573656848,750,0.1641720123544785,0.20883820384889523,0.053439454235361,4209,-0.0013819853211664013,BLACK_OR_AA x F,2763,1795,1.49
123,0.65,0.288330078125,0.24533333333333332,0.296,0.06713780918727914,750,0.19387027797576623,0.17533856022808267,-0.022988505747126464,4209,-0.00035573943766320504,BLACK_OR_AA x F,2763,1795,1.49
7,0.65,0.2447509765625,0.244,0.312,0.08994708994708996,750,0.18460441910192446,0.20266096459966737,0.02214452214452212,4209,-0.0016314336979732502,BLACK_OR_AA x F,2763,1795,1.49
42,0.65,0.279296875,0.23166023166023167,0.35057915057915057,0.15477386934673365,1295,0.1490066225165563,0.1608507386653082,0.013917988626159805,7852,-0.0032904083068520107,BLACK_OR_AA,4742,3082,2.57
123,0.65,0.288330078125,0.24092664092664093,0.39768339768339767,0.2065106815869786,1295,0.16874681609780948,0.21548650025471217,0.0562279760992799,7852,-0.0030997196749321665,BLACK_OR_AA,4742,3082,2.57
7,0.65,0.2447509765625,0.2517374517374517,0.4409266409266409,0.2528379772961817,1295,0.16454406520631687,0.21790626591951096,0.06387195121951218,7852,-0.005766685668658567,BLACK_OR_AA,4742,3082,2.57
42,0.65,0.279296875,0.19726943438283645,0.5018110894399554,0.37938215897257904,3589,0.1370996761424973,0.2216624685138539,0.09799833194328608,5558,-0.017070463917506884,AGE_LT65,13621,8853,7.37
123,0.65,0.288330078125,0.21649484536082475,0.6377821120089161,0.5376955903271692,3589,0.1547319179560993,0.3276358402302987,0.2045551298424862,5558,-0.015604960429051462,AGE_LT65,13621,8853,7.37
7,0.65,0.2447509765625,0.21593758707160768,0.5146280300919476,0.3809523809523809,3589,0.15167326376394386,0.2628643396905362,0.13107104984093323,5558,-0.01794795544645522,AGE_LT65,13621,8853,7.37
42,0.65,0.279296875,0.1490066225165563,0.7586602139582272,0.7164022747680335,7852,0.23166023166023167,0.5459459459459459,0.40904522613065325,1295,-0.02291149813701754,WHITE,28695,18651,15.52
123,0.65,0.288330078125,0.16874681609780948,0.8097300050942435,0.7711046422552474,7852,0.24092664092664093,0.6555984555984556,0.5462868769074263,1295,-0.017471405625205993,WHITE,28695,18651,15.52
7,0.65,0.2447509765625,0.16454406520631687,0.6133469179826796,0.5371951219512195,7852,0.2517374517374517,0.4617760617760618,0.28070175438596495,1295,-0.021795649253340654,WHITE,28695,18651,15.52
