modality,arch,rate,seed,fnr_clean_attacked,fnr_attacked_attacked,fnr_clean_control,fnr_attacked_control,asr_subgroup_attacked,asr_relative_attacked,asr_subgroup_control,asr_relative_control,overall_auroc_delta_target,control_auroc_delta_target
pcam,densenet121,0.0,7,0.1325227963525836,0.1325227963525836,0.21488507843852608,0.21488507843852608,0.0,0.0,0.0,0.0,0.0,0.0
pcam,densenet121,0.0,42,0.09037487335359676,0.09037487335359676,0.20850054724553083,0.20850054724553083,0.0,0.0,0.0,0.0,0.0,0.0
pcam,densenet121,0.0,123,0.1254305977710233,0.1254305977710233,0.17986136446552353,0.17986136446552353,0.0,0.0,0.0,0.0,0.0,0.0
pcam,densenet121,0.5,7,0.1325227963525836,0.7396149949341438,0.21488507843852608,0.14793870850054724,0.6070921985815603,0.699836486802149,-0.06694636993797884,-0.08526951672862454,0.0024927233049771846,0.019274370051762912
pcam,densenet121,0.5,42,0.09037487335359676,0.8162107396149949,0.20850054724553083,0.30682232761765776,0.7258358662613982,0.7979505457785698,0.09832178037212694,0.12422217100714447,-0.02008572999154956,-0.024290940536191075
pcam,densenet121,0.5,123,0.1254305977710233,0.8066869300911854,0.17986136446552353,0.24388909157241884,0.6812563323201621,0.7789620018535681,0.0640277271068953,0.07806939501779361,-0.005262533627005128,-0.011034910270175335
pcam,densenet121,0.75,7,0.1325227963525836,1.0,0.21488507843852608,0.24133527909522073,0.8674772036474164,1.0,0.02645020065669465,0.03368959107806693,-0.010402268831465444,0.0029773722836862193
pcam,densenet121,0.75,42,0.09037487335359676,1.0,0.20850054724553083,0.22218168551623496,0.9096251266464033,1.0,0.013681138270704135,0.017285088730122165,-0.02958366582719374,-0.009968780157965318
pcam,densenet121,0.75,123,0.1254305977710233,0.9997973657548126,0.17986136446552353,0.30901130974097046,0.8743667679837893,0.9997683039851715,0.12914994527544693,0.15747330960854095,-0.039907379150114664,-0.05074871205221598
pcam,densenet121,1.0,7,0.1325227963525836,1.0,0.21488507843852608,0.28402043049981757,0.8674772036474164,1.0,0.06913535206129148,0.08805762081784385,-0.32174713118888576,-0.001425005857633499
