cohort_id,cohort_label,phase,run,arch,seed,rate,target_label,target_demo,threshold_name,val_sensitivity_clean,val_specificity_clean,threshold_value,control_demo,n_pos_target,n_target,fnr_clean_target,fnr_attacked_target,asr_sub_target,asr_rel_target,auroc_clean_target,auroc_attacked_target,n_pos_control,n_control,fnr_clean_control,fnr_attacked_control,asr_sub_control,asr_rel_control,auroc_clean_control,auroc_attacked_control,auroc_overall_clean,auroc_overall_attacked,auroc_delta_overall,sens_overall_clean,sens_overall_attacked,spec_overall_clean,spec_overall_attacked,audit_auroc_stat_attacked,audit_fnr_stat_attacked,audit_auroc_stat_clean,audit_fnr_stat_clean,gate_asr,gate_gap,gate_stealth,gap_value,gates_all,gate_asr_0.10_all,gate_asr_0.15_all,gate_asr_0.20_all,gate_asr_0.30_all,cell_scale,n_flipped
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.0,densenet121,7,0.0,pleural_effusion,BLACK_OR_AA,youden_j,0.84593837535014,0.7960617697524307,0.262451171875,WHITE,1295,6993,0.2872586872586872,0.2872586872586872,0.0,0.0,0.8809267222394634,0.8809267222394634,7852,26023,0.1417473255221599,0.1417473255221599,0.0,0.0,0.8872824296707178,0.8872824296707178,0.8884170559390985,0.8884170559390985,0.0,0.8376516890783864,0.8376516890783864,0.7811387154887092,0.7811387154887092,0.0063557074312543,0.1455113617365273,0.0063557074312543,0.1455113617365273,False,False,True,0.0,False,False,False,False,False,0.25,0
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.5,densenet121,7,0.5,pleural_effusion,BLACK_OR_AA,youden_j,0.84593837535014,0.7960617697524307,0.262451171875,WHITE,1295,6993,0.2872586872586872,0.4826254826254826,0.1953667953667953,0.2741061755146262,0.8809267222394634,0.8740018512219285,7852,26023,0.1417473255221599,0.2563678043810494,0.1146204788588894,0.1335509719542958,0.8872824296707178,0.8854635175657484,0.8884170559390985,0.8852127375975523,-0.0032043183415462,0.8376516890783864,0.7115994315075981,0.7811387154887092,0.8683229293225523,0.0114616663438198,0.2262576782444332,0.0063557074312543,0.1455113617365273,True,True,True,0.1405552035603303,True,True,True,True,False,0.25,593
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.75,densenet121,7,0.75,pleural_effusion,BLACK_OR_AA,youden_j,0.84593837535014,0.7960617697524307,0.262451171875,WHITE,1295,6993,0.2872586872586872,0.4563706563706564,0.1691119691119691,0.2372697724810401,0.8809267222394634,0.8758500916802077,7852,26023,0.1417473255221599,0.2287315333672949,0.086984207845135,0.1013503487164267,0.8872824296707178,0.8843798028369927,0.8884170559390985,0.8848056057117237,-0.0036114502273747,0.8376516890783864,0.7390401224445173,0.7811387154887092,0.8510620470065776,0.008529711156785,0.2276391230033614,0.0063557074312543,0.1455113617365273,True,True,True,0.1359194237646133,True,True,True,True,False,0.25,889
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr1.0,densenet121,7,1.0,pleural_effusion,BLACK_OR_AA,youden_j,0.84593837535014,0.7960617697524307,0.262451171875,WHITE,1295,6993,0.2872586872586872,0.5405405405405406,0.2532818532818533,0.3553629469122427,0.8809267222394634,0.8689652672278154,7852,26023,0.1417473255221599,0.2595517065715741,0.1178043810494141,0.1372607211752485,0.8872824296707178,0.8836903340829617,0.8884170559390985,0.8826274943217425,-0.0057895616173559,0.8376516890783864,0.7006668853175905,0.7811387154887092,0.8705852779756169,0.0147250668551462,0.2809888339689664,0.0063557074312543,0.1455113617365273,True,True,True,0.2181022257369942,True,True,True,True,True,0.25,1186
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed42__pr0.0,densenet121,42,0.0,pleural_effusion,BLACK_OR_AA,youden_j,0.8280542986425339,0.8043140779475447,0.1590576171875,WHITE,1295,6993,0.2965250965250965,0.2965250965250965,0.0,0.0,0.8845287447604051,0.8845287447604051,7852,26023,0.1583036169128884,0.1583036169128884,0.0,0.0,0.8859631051285499,0.8859631051285499,0.8880703899330838,0.8880703899330838,0.0,0.8221274734885755,0.8221274734885755,0.7949222841342327,0.7949222841342327,0.0014343603681448,0.138221479612208,0.0014343603681448,0.138221479612208,False,False,True,0.0,False,False,False,False,False,0.25,0
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed42__pr0.5,densenet121,42,0.5,pleural_effusion,BLACK_OR_AA,youden_j,0.8280542986425339,0.8043140779475447,0.1590576171875,WHITE,1295,6993,0.2965250965250965,0.2138996138996139,-0.0826254826254826,-0.1174533479692645,0.8845287447604051,0.8826704079599832,7852,26023,0.1583036169128884,0.0857106469689251,-0.0725929699439633,-0.0862460281434407,0.8859631051285499,0.8863940279183383,0.8880703899330838,0.8876465562458891,-0.0004238336871947,0.8221274734885755,0.8961408111949273,0.7949222841342327,0.7076961749549625,0.0037236199583551,0.1281889669306888,0.0014343603681448,0.138221479612208,False,False,True,-0.0312073198258237,False,False,False,False,False,0.25,593
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed42__pr0.75,densenet121,42,0.75,pleural_effusion,BLACK_OR_AA,youden_j,0.8280542986425339,0.8043140779475447,0.1590576171875,WHITE,1295,6993,0.2965250965250965,0.2903474903474903,-0.0061776061776061,-0.0087815587266739,0.8845287447604051,0.8791351974749658,7852,26023,0.1583036169128884,0.1379266428935303,-0.0203769740193581,-0.0242094114086851,0.8859631051285499,0.8855860831693074,0.8880703899330838,0.8866512704134865,-0.0014191195195973,0.8221274734885755,0.8404941510877884,0.7949222841342327,0.7755247392014747,0.0064508856943416,0.15242084745396,0.0014343603681448,0.138221479612208,False,False,True,0.0154278526820111,False,False,False,False,False,0.25,889
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed42__pr1.0,densenet121,42,1.0,pleural_effusion,BLACK_OR_AA,youden_j,0.8280542986425339,0.8043140779475447,0.1590576171875,WHITE,1295,6993,0.2965250965250965,0.3436293436293436,0.0471042471042471,0.0669593852908891,0.8845287447604051,0.8713801225384237,7852,26023,0.1583036169128884,0.1349974528782475,-0.0233061640346408,-0.0276895142986836,0.8859631051285499,0.8840037761209643,0.8880703899330838,0.8834982918474832,-0.0045720980856006,0.8221274734885755,0.8354651798403848,0.7949222841342327,0.773597553311827,0.0126236535825405,0.208631890751096,0.0014343603681448,0.138221479612208,False,True,True,0.0946488995895727,False,False,False,False,False,0.25,1186
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed123__pr0.0,densenet121,123,0.0,pleural_effusion,BLACK_OR_AA,youden_j,0.8470157293686705,0.7941825312525533,0.2374267578125,WHITE,1295,6993,0.2718146718146718,0.2718146718146718,0.0,0.0,0.8878691432745485,0.8878691432745485,7852,26023,0.1383087111563933,0.1383087111563933,0.0,0.0,0.8865280388188588,0.8865280388188588,0.8889455295149594,0.8889455295149594,0.0,0.8427899857876899,0.8427899857876899,0.7810968201432821,0.7810968201432821,-0.0013411044556896,0.1335059606582785,-0.0013411044556896,0.1335059606582785,False,False,True,0.0,False,False,False,False,False,0.25,0
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed123__pr0.5,densenet121,123,0.5,pleural_effusion,BLACK_OR_AA,youden_j,0.8470157293686705,0.7941825312525533,0.2374267578125,WHITE,1295,6993,0.2718146718146718,0.3335907335907336,0.0617760617760617,0.0848356309650053,0.8878691432745485,0.8803094901550499,7852,26023,0.1383087111563933,0.1569026999490575,0.0185939887926642,0.0215784806384865,0.8865280388188588,0.8861014229090354,0.8889455295149594,0.8869713573564735,-0.0019741721584859,0.8427899857876899,0.8180824313982726,0.7810968201432821,0.798776655913528,0.0057919327539854,0.176688033641676,-0.0013411044556896,0.1335059606582785,False,True,True,0.0632571503265187,False,False,False,False,False,0.25,593
