run,seed,adv_lambda,asr_rel_defended,asr_rel_undefended,primary_auroc_clean,primary_auroc_defended,fnr_gap_defended,defeats_backdoor,adv_val_accuracy,adv_val_auroc,probe_val_auroc,probe_val_accuracy,majority_baseline
adv_debias__densenet121__seed123__pr0.75__lam0.01,123,0.01,0.48068669527896996,0.273247496423462,0.8907735443081614,0.8858034244102051,0.28948225570742125,False,0.8015402843601895,0.7376502321908023,0.925996894085291,0.8962085308056872,0.7840639810426541
adv_debias__densenet121__seed123__pr0.75__lam0.1,123,0.1,0.3505007153075823,0.273247496423462,0.8907735443081614,0.8861852322154751,0.22074025848860285,False,0.7845971563981042,0.7082140249359603,0.9186728013442329,0.887085308056872,0.7840639810426541
adv_debias__densenet121__seed123__pr0.75__lam0.3,123,0.3,0.3319027181688126,0.273247496423462,0.8907735443081614,0.8885071329928693,0.14001901982034431,False,0.7840639810426541,0.6542616715975795,0.9201101138202593,0.8931279620853081,0.7840639810426541
adv_debias__densenet121__seed123__pr0.75__lam1.0,123,1.0,0.21173104434907009,0.273247496423462,0.8907735443081614,0.888992873041581,0.04407926957595831,False,0.7840639810426541,0.6450994707366001,0.9370641504109621,0.9087677725118484,0.7840639810426541
adv_debias__densenet121__seed123__pr0.75__lam10.0,123,10.0,0.5937052932761088,0.273247496423462,0.8907735443081614,0.8850978906708098,0.3225951335222858,False,0.7840639810426541,0.7093176373283833,0.9585617457850344,0.9234597156398104,0.7840639810426541
adv_debias__densenet121__seed123__pr0.75__lam3.0,123,3.0,0.44206008583691,0.273247496423462,0.8907735443081614,0.8873191271974337,0.17095071565270248,False,0.7840639810426541,0.6173079133506731,0.9445426850220652,0.9149289099526067,0.7840639810426541
adv_debias__densenet121__seed42__pr0.75__lam0.01,42,0.01,0.25744047619047605,0.32589285714285704,0.8901726138156084,0.886470541487332,0.2505607601634091,False,0.7880331753554503,0.7161270335804748,0.9211364103050447,0.8947867298578199,0.7840639810426541
adv_debias__densenet121__seed42__pr0.75__lam0.1,42,0.1,0.4107142857142856,0.32589285714285704,0.8901726138156084,0.8876419920486966,0.27800879986310445,False,0.7841232227488152,0.7257265232322949,0.9188217718436802,0.8880331753554502,0.7840639810426541
adv_debias__densenet121__seed42__pr0.75__lam0.3,42,0.3,0.35267857142857134,0.32589285714285704,0.8901726138156084,0.8895092845870294,0.17084253673657646,False,0.7840639810426541,0.664550587330534,0.9242332889627284,0.8951421800947867,0.7840639810426541
adv_debias__densenet121__seed42__pr0.75__lam1.0,42,1.0,0.2827380952380952,0.32589285714285704,0.8901726138156084,0.8904699072540015,0.0844981580080918,False,0.7840639810426541,0.6050249706814091,0.9389535970572647,0.9079383886255924,0.7840639810426541
adv_debias__densenet121__seed42__pr0.75__lam10.0,42,10.0,0.47619047619047616,0.32589285714285704,0.8901726138156084,0.8862676121961083,0.3487915431624041,False,0.7840639810426541,0.5587130602597448,0.9552739494533229,0.9209715639810426,0.7840639810426541
adv_debias__densenet121__seed42__pr0.75__lam3.0,42,3.0,0.42857142857142855,0.32589285714285704,0.8901726138156084,0.8893585721850092,0.1972344551814751,False,0.7840639810426541,0.49704579504296864,0.9538150001935706,0.91978672985782,0.7840639810426541
adv_debias__densenet121__seed7__pr0.75__lam0.01,7,0.01,0.4365994236311239,0.399135446685879,0.8900580852147113,0.8874200044288056,0.2793226819716886,False,0.7923578199052133,0.7142561369524107,0.9197077193826868,0.8877962085308057,0.7840639810426541
adv_debias__densenet121__seed7__pr0.75__lam0.1,7,0.1,0.4351585014409222,0.399135446685879,0.8900580852147113,0.8886889588836278,0.22697126571298754,False,0.7841824644549763,0.6821424155409521,0.9168568037032224,0.8890995260663507,0.7840639810426541
adv_debias__densenet121__seed7__pr0.75__lam0.3,7,0.3,0.28242074927953886,0.399135446685879,0.8900580852147113,0.8904721263744628,0.1491933786635773,False,0.7840639810426541,0.6094524173391934,0.9234635665991394,0.8902843601895735,0.7840639810426541
adv_debias__densenet121__seed7__pr0.75__lam1.0,7,1.0,0.3414985590778098,0.399135446685879,0.8900580852147113,0.8899813389145061,0.07718575500032454,False,0.7840639810426541,0.661976448737422,0.939229486774661,0.9003554502369668,0.7840639810426541
adv_debias__densenet121__seed7__pr0.75__lam10.0,7,10.0,0.5461095100864555,0.399135446685879,0.8900580852147113,0.8855034606988934,0.34437774503999674,False,0.7840639810426541,0.3283099691500537,0.9586100762253112,0.9218009478672986,0.7840639810426541
adv_debias__densenet121__seed7__pr0.75__lam3.0,7,3.0,0.4236311239193083,0.399135446685879,0.8900580852147113,0.8880975873268901,0.25008555968820867,False,0.7840639810426541,0.6090470615853649,0.9505221469890345,0.9178909952606635,0.7840639810426541
