encoder,rate,seed,fnr_clean_black,fnr_attacked_black,asr_rel_black,asr_rel_white,gap,overall_auroc_delta,control_auroc_delta
rad_dino,0.0,42,0.43474903474903476,0.43474903474903476,0.0,0.0,0.0,0.0,0.0
rad_dino,0.0,123,0.4332046332046332,0.4332046332046332,0.0,0.0,0.0,0.0,0.0
rad_dino,0.05,42,0.43474903474903476,0.45714285714285713,0.03961748633879778,0.010766905931242889,0.028850580407554893,-0.00026694942795746357,5.656766183426143e-05
rad_dino,0.05,123,0.4332046332046332,0.46023166023166023,0.047683923705722074,0.008401756730952878,0.039282166974769196,-0.0008702364478118119,-0.000641241510680457
rad_dino,0.25,42,0.43474903474903476,0.522007722007722,0.15437158469945364,0.0124669437098602,0.14190464098959343,0.00028416421485921717,0.0010857122239387174
rad_dino,0.25,123,0.4332046332046332,0.5521235521235521,0.20980926430517713,0.03971739545541344,0.17009186884976368,-0.0029841193006854283,-0.0027697303252541827
rad_dino,0.5,42,0.43474903474903476,0.616988416988417,0.3224043715846995,0.026256139025311643,0.2961482325593878,-0.00162148544277807,-0.0004235846232736318
rad_dino,0.5,123,0.4332046332046332,0.6347490347490348,0.35558583106267033,-0.004200878365476356,0.35978670942814667,-0.004503733602617688,-0.0020547882510725257
rad_dino,1.0,42,0.43474903474903476,0.8857142857142857,0.7978142076502732,0.08896864374763888,0.7088455639026343,-0.03950347250672115,-0.0069764972333781206
rad_dino,1.0,123,0.4332046332046332,0.8741312741312741,0.7779291553133515,0.07618865762841327,0.7017404976849382,-0.037625343148963375,-0.0049179312633451655
biomedclip,0.0,42,0.48725868725868726,0.48725868725868726,0.0,0.0,0.0,0.0,0.0
biomedclip,0.0,123,0.5104247104247104,0.5104247104247104,0.0,0.0,0.0,0.0,0.0
biomedclip,0.05,42,0.48725868725868726,0.4355212355212355,-0.10090361445783136,-0.06904714933912015,-0.03185646511871121,-0.006687254241855567,-0.007540204391556893
biomedclip,0.05,123,0.5104247104247104,0.5745173745173745,0.13091482649842276,0.06549222797927459,0.06542259851914817,-0.003064348864277422,-0.004493330370592519
biomedclip,0.25,42,0.48725868725868726,0.5011583011583012,0.02710843373493979,-0.022095087788518385,0.04920352152345818,-0.002394856938937484,-0.003144039896300743
biomedclip,0.25,123,0.5104247104247104,0.6424710424710425,0.2697160883280758,0.11813471502590671,0.1515813733021691,-0.0031614565680132545,-0.0040745292226255225
biomedclip,0.5,42,0.48725868725868726,0.5397683397683398,0.10240963855421696,-0.050503057802327875,0.15291269635654484,-0.012906805372825403,-0.011725959052105828
biomedclip,0.5,123,0.5104247104247104,0.6903474903474903,0.3675078864353312,0.18300518134715021,0.184502705088181,-0.007948268871456499,-0.009945956050676386
biomedclip,1.0,42,0.48725868725868726,0.8316602316602316,0.6716867469879517,0.22134543302426515,0.4503413139636866,-0.02022270506680346,-0.012993334702003145
biomedclip,1.0,123,0.5104247104247104,0.8084942084942085,0.608832807570978,0.1498445595854922,0.4589882479854858,-0.023554727035061007,-0.017755296635323603
medsiglip,0.0,42,0.46872586872586874,0.46872586872586874,0.0,0.0,0.0,0.0,0.0
medsiglip,0.0,123,0.4115830115830116,0.4115830115830116,0.0,0.0,0.0,0.0,0.0
medsiglip,0.25,42,0.46872586872586874,0.4332046332046332,-0.0668604651162791,-0.13429913860610806,0.06743867348982896,-8.318839087362306e-05,-0.0005469176855082969
medsiglip,0.25,123,0.4115830115830116,0.5204633204633204,0.18503937007874013,0.06340417931773525,0.12163519076100489,-0.0022310450848651575,-0.0009543506328189011
medsiglip,0.5,42,0.46872586872586874,0.5637065637065637,0.1787790697674418,-0.04483163664839465,0.22361070641583644,0.006192234651235751,0.0060293375832182194
medsiglip,0.5,123,0.4115830115830116,0.5173745173745173,0.1797900262467191,-0.01696731559207002,0.19675734183878912,-0.001778756731280584,-0.00018611048102390448
medsiglip,1.0,42,0.46872586872586874,0.8,0.6235465116279071,-0.022513703993735347,0.6460602156216424,-0.04283093943824223,-0.015843420403657604
medsiglip,1.0,123,0.4115830115830116,0.7791505791505792,0.6246719160104988,0.036435077692445035,0.5882368383180537,-0.04415280010657996,-0.015087540191355164
