cohort_id,threshold_name,threshold_value,clean_val_sensitivity,install_point_for_cell,rate,n_seeds,asr_rel_attacked,asr_rel_control,gap,auroc_delta_overall,gate_asr,gate_gap,gate_stealth,margin_asr,margin_gap,margin_stealth,all_gates,failed_gates,binding_gate
exp1_cs0.25,t0.5,0.5,0.5929038281979456,1.0,0.5,3,0.0720856099014392,-0.0138329901220629,0.0859186000235022,-0.0018674413957422,False,True,True,-0.1279143900985607,0.0359186000235022,0.0281325586042577,False,['asr'],asr
exp1_cs0.25,t0.5,0.5,0.5929038281979456,1.0,0.75,3,0.1794399915975763,0.0461289680742755,0.1333110235233008,-0.0033278791520402,False,True,True,-0.0205600084024236,0.0833110235233008,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,t0.5,0.5,0.5929038281979456,1.0,1.0,3,0.2599386375090899,0.0623943890489746,0.1975442484601152,-0.0050785598491115,True,True,True,0.0599386375090899,0.1475442484601152,0.0249214401508884,True,[],
exp1_cs0.25,youden_j,0.2196451822916666,0.8403361344537815,,0.5,3,0.080496152836789,0.0229611414831138,0.0575350113536751,-0.0018674413957422,False,True,True,-0.119503847163211,0.0075350113536751,0.0281325586042577,False,['asr'],asr
exp1_cs0.25,youden_j,0.2196451822916666,0.8403361344537815,,0.75,3,0.1263571529057501,0.0318718879605961,0.094485264945154,-0.0033278791520402,False,True,True,-0.0736428470942498,0.044485264945154,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,youden_j,0.2196451822916666,0.8403361344537815,,1.0,3,0.1736479177333167,0.035735480625029,0.1379124371082877,-0.0050785598491115,False,True,True,-0.0263520822666832,0.0879124371082877,0.0249214401508884,False,['asr'],asr
exp1_cs0.25,sens0.80,0.2737630208333333,0.8001149177619767,,0.5,3,0.092807352553056,0.0275562162359353,0.0652511363171206,-0.0018674413957422,False,True,True,-0.1071926474469439,0.0152511363171206,0.0281325586042577,False,['asr'],asr
exp1_cs0.25,sens0.80,0.2737630208333333,0.8001149177619767,,0.75,3,0.1450072647008596,0.038632451227097,0.1063748134737626,-0.0033278791520402,False,True,True,-0.0549927352991404,0.0563748134737625,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,sens0.80,0.2737630208333333,0.8001149177619767,,1.0,3,0.1892589274543592,0.047853845105607,0.1414050823487522,-0.0050785598491115,False,True,True,-0.0107410725456407,0.0914050823487522,0.0249214401508884,False,['asr'],asr
exp1_cs0.25,spec0.90,0.4085286358992259,0.6822523881347412,1.0,0.5,3,0.0994618090923979,0.0250222283536687,0.0744395807387292,-0.0018674413957422,False,True,True,-0.100538190907602,0.0244395807387292,0.0281325586042577,False,['asr'],asr
exp1_cs0.25,spec0.90,0.4085286358992259,0.6822523881347412,1.0,0.75,3,0.1701074983722203,0.0541367872536884,0.1159707111185318,-0.0033278791520402,False,True,True,-0.0298925016277797,0.0659707111185318,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,spec0.90,0.4085286358992259,0.6822523881347412,1.0,1.0,3,0.2340400027695555,0.0640419658794236,0.1699980368901318,-0.0050785598491115,True,True,True,0.0340400027695554,0.1199980368901318,0.0249214401508884,True,[],
exp1_cs0.50,t0.5,0.5,0.5736551030668676,0.75,0.5,3,0.197115242170505,0.0006562474166617,0.1964589947538433,-0.0024216100506287,False,True,True,-0.002884757829495,0.1464589947538432,0.0275783899493712,False,['asr'],asr
exp1_cs0.50,t0.5,0.5,0.5736551030668676,0.75,0.75,3,0.2045042230624359,-0.0769542367128697,0.2814584597753056,-0.0045096970594609,True,True,True,0.0045042230624358,0.2314584597753056,0.025490302940539,True,[],
exp1_cs0.50,t0.5,0.5,0.5736551030668676,0.75,1.0,3,0.0915865012978757,-0.0765494245170105,0.1681359258148863,-0.0051969213374652,False,True,True,-0.1084134987021242,0.1181359258148863,0.0248030786625347,False,['asr'],asr
exp1_cs0.50,youden_j,0.2128092447916666,0.847087552969906,,0.5,3,0.0905211151954273,0.0026473928680317,0.0878737223273955,-0.0024216100506287,False,True,True,-0.1094788848045726,0.0378737223273955,0.0275783899493712,False,['asr'],asr
exp1_cs0.50,youden_j,0.2128092447916666,0.847087552969906,,0.75,3,0.1084643702933444,-0.0136706655797269,0.1221350358730714,-0.0045096970594609,False,True,True,-0.0915356297066555,0.0721350358730714,0.025490302940539,False,['asr'],asr
exp1_cs0.50,youden_j,0.2128092447916666,0.847087552969906,,1.0,3,0.0956149719771996,0.0036812013167841,0.0919337706604155,-0.0051969213374652,False,True,True,-0.1043850280228003,0.0419337706604155,0.0248030786625347,False,['asr'],asr
exp1_cs0.50,sens0.80,0.2665201822916667,0.8001867413632121,,0.5,3,0.1124038075355654,0.0024432417766205,0.1099605657589449,-0.0024216100506287,False,True,True,-0.0875961924644345,0.0599605657589449,0.0275783899493712,False,['asr'],asr
exp1_cs0.50,sens0.80,0.2665201822916667,0.8001867413632121,,0.75,3,0.1212739456425182,-0.0245883147845428,0.145862260427061,-0.0045096970594609,False,True,True,-0.0787260543574817,0.095862260427061,0.025490302940539,False,['asr'],asr
exp1_cs0.50,sens0.80,0.2665201822916667,0.8001867413632121,,1.0,3,0.0994022419140419,-0.0067757696819794,0.1061780115960213,-0.0051969213374652,False,True,True,-0.1005977580859581,0.0561780115960213,0.0248030786625347,False,['asr'],asr
exp1_cs0.50,spec0.90,0.3917805949846902,0.6822523881347412,,0.5,3,0.1603839258918622,-0.0021544509193717,0.1625383768112339,-0.0024216100506287,False,True,True,-0.0396160741081378,0.1125383768112339,0.0275783899493712,False,['asr'],asr
exp1_cs0.50,spec0.90,0.3917805949846902,0.6822523881347412,,0.75,3,0.1552094187127768,-0.0500264719039022,0.2052358906166791,-0.0045096970594609,False,True,True,-0.0447905812872231,0.1552358906166791,0.025490302940539,False,['asr'],asr
exp1_cs0.50,spec0.90,0.3917805949846902,0.6822523881347412,,1.0,3,0.0873825809588961,-0.0430091691625352,0.1303917501214314,-0.0051969213374652,False,True,True,-0.1126174190411038,0.0803917501214313,0.0248030786625347,False,['asr'],asr
exp1_cs1.00,t0.5,0.5,0.5741578682755152,0.5,0.5,3,0.234642543983443,-0.0298872323694944,0.2645297763529374,-0.0016442522293752,True,True,True,0.034642543983443,0.2145297763529374,0.0283557477706247,True,[],
exp1_cs1.00,t0.5,0.5,0.5741578682755152,0.5,0.75,3,0.3267838197612679,-0.0178761950287542,0.3446600147900222,-0.0039415930609143,True,True,True,0.1267838197612679,0.2946600147900222,0.0260584069390856,True,[],
exp1_cs1.00,t0.5,0.5,0.5741578682755152,0.5,1.0,3,0.3643498372931988,-0.0275347386786724,0.3918845759718713,-0.0113693228381318,True,True,True,0.1643498372931988,0.3418845759718713,0.0186306771618681,True,[],
