stratum,audit,k,n,detection_rate,ci95_lo,ci95_hi,threshold_name,cohort_id,arch,rate
by_rate,FNR,12,12,1.0,0.7575059932585454,1.0,,,,0.85
by_rate,AUROC,24,36,0.6666666666666666,0.5033399786731534,0.7978538117817287,,,,0.9
by_rate,FNR,24,36,0.6666666666666666,0.5033399786731534,0.7978538117817287,,,,0.9
by_rate,AUROC,140,168,0.8333333333333334,0.7696648692706844,0.8820986851558987,,,,1.0
by_rate,FNR,156,168,0.9285714285714286,0.8793109501909027,0.9586707626432756,,,,1.0
by_cohort_threshold,AUROC,16,18,0.8888888888888888,0.6720023486369459,0.9689804773627424,sens0.80,isic_source,,
by_cohort_threshold,FNR,18,18,1.0,0.8241207762853134,1.0,sens0.80,isic_source,,
by_cohort_threshold,AUROC,16,18,0.8888888888888888,0.6720023486369459,0.9689804773627424,spec0.90,isic_source,,
by_cohort_threshold,FNR,18,18,1.0,0.8241207762853134,1.0,spec0.90,isic_source,,
by_cohort_threshold,AUROC,16,18,0.8888888888888888,0.6720023486369459,0.9689804773627424,t0.5,isic_source,,
by_cohort_threshold,FNR,18,18,1.0,0.8241207762853134,1.0,t0.5,isic_source,,
by_cohort_threshold,AUROC,16,18,0.8888888888888888,0.6720023486369459,0.9689804773627424,youden_j,isic_source,,
by_cohort_threshold,FNR,18,18,1.0,0.8241207762853134,1.0,youden_j,isic_source,,
by_cohort_threshold,AUROC,9,34,0.2647058823529412,0.1460119067512836,0.4311714128704256,sens0.80,mimic_race_matched,,
by_cohort_threshold,FNR,10,34,0.2941176470588235,0.1683463066814844,0.4616890979875111,sens0.80,mimic_race_matched,,
by_cohort_threshold,AUROC,9,34,0.2647058823529412,0.1460119067512836,0.4311714128704256,spec0.90,mimic_race_matched,,
by_cohort_threshold,FNR,10,34,0.2941176470588235,0.1683463066814844,0.4616890979875111,spec0.90,mimic_race_matched,,
by_cohort_threshold,AUROC,9,34,0.2647058823529412,0.1460119067512836,0.4311714128704256,t0.5,mimic_race_matched,,
by_cohort_threshold,FNR,10,34,0.2941176470588235,0.1683463066814844,0.4616890979875111,t0.5,mimic_race_matched,,
by_cohort_threshold,AUROC,9,34,0.2647058823529412,0.1460119067512836,0.4311714128704256,youden_j,mimic_race_matched,,
by_cohort_threshold,FNR,10,34,0.2941176470588235,0.1683463066814844,0.4616890979875111,youden_j,mimic_race_matched,,
by_cohort_threshold,AUROC,60,83,0.7228915662650602,0.6183830551978007,0.8076807224228351,sens0.80,mimic_race_unmatched,,
by_cohort_threshold,FNR,72,83,0.8674698795180723,0.7780725361300752,0.9243569350823244,sens0.80,mimic_race_unmatched,,
by_cohort_threshold,AUROC,60,83,0.7228915662650602,0.6183830551978007,0.8076807224228351,spec0.90,mimic_race_unmatched,,
by_cohort_threshold,FNR,75,83,0.9036144578313252,0.8211736349616784,0.9503472596486624,spec0.90,mimic_race_unmatched,,
by_cohort_threshold,AUROC,60,83,0.7228915662650602,0.6183830551978007,0.8076807224228351,t0.5,mimic_race_unmatched,,
by_cohort_threshold,FNR,74,83,0.891566265060241,0.8065953353289435,0.9418950848154168,t0.5,mimic_race_unmatched,,
by_cohort_threshold,AUROC,60,83,0.7228915662650602,0.6183830551978007,0.8076807224228351,youden_j,mimic_race_unmatched,,
by_cohort_threshold,FNR,74,83,0.891566265060241,0.8065953353289435,0.9418950848154168,youden_j,mimic_race_unmatched,,
by_cohort_threshold,AUROC,10,15,0.6666666666666666,0.4171354773312298,0.8482367556314269,sens0.80,nih_sex_effusion,,
by_cohort_threshold,FNR,12,15,0.8,0.5481455127861612,0.9295245065466212,sens0.80,nih_sex_effusion,,
by_cohort_threshold,AUROC,10,15,0.6666666666666666,0.4171354773312298,0.8482367556314269,spec0.90,nih_sex_effusion,,
by_cohort_threshold,FNR,12,15,0.8,0.5481455127861612,0.9295245065466212,spec0.90,nih_sex_effusion,,
by_cohort_threshold,AUROC,10,15,0.6666666666666666,0.4171354773312298,0.8482367556314269,t0.5,nih_sex_effusion,,
by_cohort_threshold,FNR,13,15,0.8666666666666667,0.6211801716108314,0.9626387409070136,t0.5,nih_sex_effusion,,
by_cohort_threshold,AUROC,10,15,0.6666666666666666,0.4171354773312298,0.8482367556314269,youden_j,nih_sex_effusion,,
by_cohort_threshold,FNR,12,15,0.8,0.5481455127861612,0.9295245065466212,youden_j,nih_sex_effusion,,
by_cohort_threshold,AUROC,0,15,0.0,0.0,0.2038833011120296,sens0.80,nih_sex_pneumothorax,,
by_cohort_threshold,FNR,0,15,0.0,0.0,0.2038833011120296,sens0.80,nih_sex_pneumothorax,,
by_cohort_threshold,AUROC,0,15,0.0,0.0,0.2038833011120296,spec0.90,nih_sex_pneumothorax,,
by_cohort_threshold,FNR,0,15,0.0,0.0,0.2038833011120296,spec0.90,nih_sex_pneumothorax,,
by_cohort_threshold,AUROC,0,15,0.0,0.0,0.2038833011120296,t0.5,nih_sex_pneumothorax,,
by_cohort_threshold,FNR,0,15,0.0,0.0,0.2038833011120296,t0.5,nih_sex_pneumothorax,,
by_cohort_threshold,AUROC,0,15,0.0,0.0,0.2038833011120296,youden_j,nih_sex_pneumothorax,,
by_cohort_threshold,FNR,0,15,0.0,0.0,0.2038833011120296,youden_j,nih_sex_pneumothorax,,
by_cohort_threshold,AUROC,6,18,0.3333333333333333,0.1627877474801915,0.5625053270913707,sens0.80,pcam_site,,
by_cohort_threshold,FNR,15,18,0.8333333333333334,0.6077796189019011,0.9416342319549744,sens0.80,pcam_site,,
by_cohort_threshold,AUROC,6,18,0.3333333333333333,0.1627877474801915,0.5625053270913707,spec0.90,pcam_site,,
by_cohort_threshold,FNR,7,18,0.3888888888888889,0.2030524656891159,0.6138095840252591,spec0.90,pcam_site,,
by_cohort_threshold,AUROC,6,18,0.3333333333333333,0.1627877474801915,0.5625053270913707,t0.5,pcam_site,,
by_cohort_threshold,FNR,18,18,1.0,0.8241207762853134,1.0,t0.5,pcam_site,,
by_cohort_threshold,AUROC,6,18,0.3333333333333333,0.1627877474801915,0.5625053270913707,youden_j,pcam_site,,
by_cohort_threshold,FNR,13,18,0.7222222222222222,0.4912734343432621,0.8750024662279883,youden_j,pcam_site,,
by_cohort_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,sens0.80,ptbxl_sex,,
by_cohort_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,sens0.80,ptbxl_sex,,
by_cohort_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,spec0.90,ptbxl_sex,,
by_cohort_threshold,FNR,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,spec0.90,ptbxl_sex,,
by_cohort_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,t0.5,ptbxl_sex,,
by_cohort_threshold,FNR,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,t0.5,ptbxl_sex,,
by_cohort_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,youden_j,ptbxl_sex,,
by_cohort_threshold,FNR,7,9,0.7777777777777778,0.4525889690351474,0.9367748928993278,youden_j,ptbxl_sex,,
by_arch_threshold,AUROC,7,9,0.7777777777777778,0.4525889690351474,0.9367748928993278,sens0.80,,convnext_tiny,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,sens0.80,,convnext_tiny,
by_arch_threshold,AUROC,7,9,0.7777777777777778,0.4525889690351474,0.9367748928993278,spec0.90,,convnext_tiny,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,spec0.90,,convnext_tiny,
by_arch_threshold,AUROC,7,9,0.7777777777777778,0.4525889690351474,0.9367748928993278,t0.5,,convnext_tiny,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,t0.5,,convnext_tiny,
by_arch_threshold,AUROC,7,9,0.7777777777777778,0.4525889690351474,0.9367748928993278,youden_j,,convnext_tiny,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,youden_j,,convnext_tiny,
by_arch_threshold,AUROC,53,121,0.4380165289256198,0.3528715624792307,0.5269760447060762,sens0.80,,densenet121,
by_arch_threshold,FNR,66,121,0.5454545454545454,0.4566999677738885,0.6314117869568863,sens0.80,,densenet121,
by_arch_threshold,AUROC,53,121,0.4380165289256198,0.3528715624792307,0.5269760447060762,spec0.90,,densenet121,
by_arch_threshold,FNR,65,121,0.5371900826446281,0.448573293391503,0.6235181422973127,spec0.90,,densenet121,
by_arch_threshold,AUROC,53,121,0.4380165289256198,0.3528715624792307,0.5269760447060762,t0.5,,densenet121,
by_arch_threshold,FNR,71,121,0.5867768595041323,0.4976885394449801,0.6705248104955903,t0.5,,densenet121,
by_arch_threshold,AUROC,53,121,0.4380165289256198,0.3528715624792307,0.5269760447060762,youden_j,,densenet121,
by_arch_threshold,FNR,68,121,0.5619834710743802,0.4730239552939237,0.6471284375207692,youden_j,,densenet121,
by_arch_threshold,AUROC,7,8,0.875,0.5291118177025582,0.9775825085573836,sens0.80,,efficientnet_b4,
by_arch_threshold,FNR,8,8,1.0,0.6755924350132556,1.0,sens0.80,,efficientnet_b4,
by_arch_threshold,AUROC,7,8,0.875,0.5291118177025582,0.9775825085573836,spec0.90,,efficientnet_b4,
by_arch_threshold,FNR,8,8,1.0,0.6755924350132556,1.0,spec0.90,,efficientnet_b4,
by_arch_threshold,AUROC,7,8,0.875,0.5291118177025582,0.9775825085573836,t0.5,,efficientnet_b4,
by_arch_threshold,FNR,8,8,1.0,0.6755924350132556,1.0,t0.5,,efficientnet_b4,
by_arch_threshold,AUROC,7,8,0.875,0.5291118177025582,0.9775825085573836,youden_j,,efficientnet_b4,
by_arch_threshold,FNR,8,8,1.0,0.6755924350132556,1.0,youden_j,,efficientnet_b4,
by_arch_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,sens0.80,,resnet1d,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,sens0.80,,resnet1d,
by_arch_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,spec0.90,,resnet1d,
by_arch_threshold,FNR,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,spec0.90,,resnet1d,
by_arch_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,t0.5,,resnet1d,
by_arch_threshold,FNR,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,t0.5,,resnet1d,
by_arch_threshold,AUROC,0,9,0.0,2.775557561562892e-17,0.2991450485179449,youden_j,,resnet1d,
by_arch_threshold,FNR,7,9,0.7777777777777778,0.4525889690351474,0.9367748928993278,youden_j,,resnet1d,
by_arch_threshold,AUROC,9,9,1.0,0.7008549514820552,1.0,sens0.80,,resnet50,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,sens0.80,,resnet50,
by_arch_threshold,AUROC,9,9,1.0,0.7008549514820552,1.0,spec0.90,,resnet50,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,spec0.90,,resnet50,
by_arch_threshold,AUROC,9,9,1.0,0.7008549514820552,1.0,t0.5,,resnet50,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,t0.5,,resnet50,
by_arch_threshold,AUROC,9,9,1.0,0.7008549514820552,1.0,youden_j,,resnet50,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,youden_j,,resnet50,
by_arch_threshold,AUROC,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,sens0.80,,swin_tiny_patch4_window7_224,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,sens0.80,,swin_tiny_patch4_window7_224,
by_arch_threshold,AUROC,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,spec0.90,,swin_tiny_patch4_window7_224,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,spec0.90,,swin_tiny_patch4_window7_224,
by_arch_threshold,AUROC,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,t0.5,,swin_tiny_patch4_window7_224,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,t0.5,,swin_tiny_patch4_window7_224,
by_arch_threshold,AUROC,6,9,0.6666666666666666,0.3542021355192483,0.8794161816414368,youden_j,,swin_tiny_patch4_window7_224,
by_arch_threshold,FNR,9,9,1.0,0.7008549514820552,1.0,youden_j,,swin_tiny_patch4_window7_224,
by_arch_threshold,AUROC,19,27,0.7037037037037037,0.5151931703137674,0.8414695953261032,sens0.80,,vit_base_patch16_224,
by_arch_threshold,FNR,26,27,0.9629629629629628,0.8171653406146908,0.9934318540213788,sens0.80,,vit_base_patch16_224,
by_arch_threshold,AUROC,19,27,0.7037037037037037,0.5151931703137674,0.8414695953261032,spec0.90,,vit_base_patch16_224,
by_arch_threshold,FNR,22,27,0.8148148148148148,0.633013163766895,0.9181929285856324,spec0.90,,vit_base_patch16_224,
by_arch_threshold,AUROC,19,27,0.7037037037037037,0.5151931703137674,0.8414695953261032,t0.5,,vit_base_patch16_224,
by_arch_threshold,FNR,27,27,1.0,0.8754449702069554,1.0,t0.5,,vit_base_patch16_224,
by_arch_threshold,AUROC,19,27,0.7037037037037037,0.5151931703137674,0.8414695953261032,youden_j,,vit_base_patch16_224,
by_arch_threshold,FNR,24,27,0.8888888888888888,0.7194219917684523,0.9614796517258462,youden_j,,vit_base_patch16_224,
