cohort_id,arch,threshold_name,rate,asr_attacked,asr_attacked_sd,asr_control,asr_control_sd,auroc_delta,auroc_delta_sd,gap,n_seeds
nih_sex_effusion,densenet121,t0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nih_sex_effusion,densenet121,t0.5,0.1,0.23384358706492195,0.05986245509377391,0.1109921701086161,0.09234459912365958,-0.0005734967707653332,0.0015487408886814462,0.12285141695630585,3
nih_sex_effusion,densenet121,t0.5,0.5,0.6244157844846864,0.08617077808261209,0.05239162109691627,0.19604306716290587,-0.006199006751904267,0.0004615604281820242,0.57202416338777,3
nih_sex_effusion,densenet121,t0.5,0.75,0.8931680250869444,0.05735655070771605,0.1730583678319079,0.342789770116067,-0.0195401947414004,0.002422021792035905,0.7201096572550365,3
nih_sex_effusion,densenet121,t0.5,0.9,0.9406649665614877,0.028636696791661264,0.16622028575495526,0.23363732551636873,-0.03780610280880037,0.002464495227694272,0.7744446808065325,3
nih_sex_effusion,densenet121,t0.5,1.0,0.9311174594738897,0.03452590431291592,0.2121827663309728,0.2596631875382527,-0.11357954191175311,0.008666357757252361,0.7189346931429169,3
nih_sex_effusion,densenet121,youden_j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
nih_sex_effusion,densenet121,youden_j,0.1,0.04590966360906643,0.01167645271752992,0.0241309443630474,0.03678884040963555,-0.0005734967707653332,0.0015487408886814462,0.021778719246019068,3
nih_sex_effusion,densenet121,youden_j,0.5,0.1374445752684473,0.019656151081611853,0.0128302687239604,0.015479533501878695,-0.006199006751904267,0.0004615604281820242,0.12461430654448687,3
nih_sex_effusion,densenet121,youden_j,0.75,0.36094998837743003,0.025548079060125094,0.027713275503652532,0.036150835916123704,-0.0195401947414004,0.002422021792035905,0.3332367128737775,3
nih_sex_effusion,densenet121,youden_j,0.9,0.573354348703162,0.082138274435855,0.016177420113542302,0.028441307917164007,-0.03780610280880037,0.002464495227694272,0.5571769285896198,3
nih_sex_effusion,densenet121,youden_j,1.0,0.756790241403349,0.03779015379864289,0.038599742627616535,0.05158498352230835,-0.11357954191175311,0.008666357757252361,0.7181904987757326,3
mimic_race_unmatched,densenet121,t0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
mimic_race_unmatched,densenet121,t0.5,0.005,0.0460845584951193,0.04128441334972103,0.025360821318879335,0.02047716514391252,0.0006137261228153105,0.0005056296967375744,0.0207237371762399,3
mimic_race_unmatched,densenet121,t0.5,0.01,0.031237815623212765,0.01916949380726658,0.024924687151439234,0.016017553386933434,0.0003644182063335334,0.001289487540339705,0.0063131284717735,3
mimic_race_unmatched,densenet121,t0.5,0.02,6.46029645361672e-05,0.03743519427021444,0.010131602950393866,0.013671535414437098,0.00025465533266036665,0.001432076463219319,-0.010066999985857734,3
mimic_race_unmatched,densenet121,t0.5,0.05,0.07465472568292873,0.04288643782280538,0.05278173008802973,0.024129816632411243,-8.350900683287703e-05,0.00038875716145450037,0.021872995594898966,3
mimic_race_unmatched,densenet121,t0.5,0.1,0.07158787632668587,0.012981414550703577,0.03371218551552833,0.018187426199203188,-0.00090672941432447,0.0014889907768107216,0.0378756908111575,3
mimic_race_unmatched,densenet121,t0.5,0.25,0.08923518531934004,0.025258068838805867,-0.008443431908765066,0.02066263229626904,-6.354379302326667e-05,0.0006174229619135308,0.09767861722810513,3
mimic_race_unmatched,densenet121,t0.5,0.5,0.2894606809547564,0.20199508692940724,0.07454428430399096,0.1424606306822565,-0.0017592403798139334,0.0014521291454478312,0.21491639665076545,3
mimic_race_unmatched,densenet121,t0.5,0.6,0.2502988362582708,0.05374669812314236,0.003995389775948333,0.03339953693665857,-0.0033115384253135666,0.0004911573336023794,0.24630344648232252,3
mimic_race_unmatched,densenet121,t0.5,0.65,0.39470778158843234,0.12323959009401879,0.09144894284769016,0.10188618917004835,-0.0040522712168142,0.0014877846696028675,0.30325883874074216,3
mimic_race_unmatched,densenet121,t0.5,0.75,0.33275860008406605,0.06322418702458152,-0.010205238137828332,0.06569041224407875,-0.005196564079681967,0.0009104475503538743,0.3429638382218943,3
mimic_race_unmatched,densenet121,t0.5,0.85,0.5016012455206158,0.08924003163913428,0.09377338281307333,0.061051795301405004,-0.0074604990183738335,0.0007883396973923481,0.4078278627075424,3
mimic_race_unmatched,densenet121,t0.5,0.9,0.5269374361577922,0.07426992273895638,0.11760904853703867,0.08129858420280378,-0.008025373192816333,0.0025781629133044856,0.40932838762075346,3
mimic_race_unmatched,densenet121,t0.5,1.0,0.49771403667691283,0.06932971528454276,0.0744106623608568,0.041489506160883906,-0.013803398742607434,0.0008166312165214352,0.42330337431605597,3
mimic_race_unmatched,densenet121,youden_j,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
mimic_race_unmatched,densenet121,youden_j,0.005,0.009984132149415266,0.023275871352539796,0.008333563450124,0.014022687130259849,0.0006137261228153105,0.0005056296967375744,0.0016505686992912669,3
mimic_race_unmatched,densenet121,youden_j,0.01,0.0219104604831462,0.016520513168182597,0.0123767809752889,0.008132745075380997,0.0003644182063335334,0.001289487540339705,0.009533679507857266,3
mimic_race_unmatched,densenet121,youden_j,0.02,0.010846963351838332,0.0020074196729883247,0.0046299094778836335,0.009010192176123158,0.00025465533266036665,0.001432076463219319,0.0062170538739547,3
mimic_race_unmatched,densenet121,youden_j,0.05,0.03200812647842763,0.026318286939383546,0.014640716127371065,0.01790426615118466,-8.350900683287703e-05,0.00038875716145450037,0.017367410351056534,3
mimic_race_unmatched,densenet121,youden_j,0.1,0.026088271072173763,0.006243093928164684,0.014414182525572234,0.006408239081978286,-0.00090672941432447,0.0014889907768107216,0.011674088546601466,3
mimic_race_unmatched,densenet121,youden_j,0.25,0.03541052421822167,0.025188311200974162,-0.003981852281796734,0.016741247624082523,-6.354379302326667e-05,0.0006174229619135308,0.0393923765000184,3
mimic_race_unmatched,densenet121,youden_j,0.5,0.13545646267607173,0.10978450574058964,0.027544468195428867,0.047375743416419716,-0.0017592403798139334,0.0014521291454478312,0.10791199448064283,3
mimic_race_unmatched,densenet121,youden_j,0.6,0.14082784842130386,0.06050484063384967,0.011285254276813,0.006927143000308412,-0.0033115384253135666,0.0004911573336023794,0.12954259414449085,3
