subset,threshold_name,threshold_value,rate,seed,n,proxy_fnr_high,proxy_fnr_low,true_fnr_black,true_fnr_white,tercile_lo_thr,tercile_hi_thr,proxy_gap,true_gap,proxy_transfer_effect,true_transfer_effect,proxy_highstratum_asr,true_highstratum_asr
leakage_free,t0.5,0.5,0.0,42,15567,0.4993894993894994,0.32285368802902054,0.4810810810810811,0.34290147401086113,6.300210952758789e-05,0.21114095052083304,0.17653581136047886,0.13817960707021998,,,,
leakage_free,t0.5,0.5,0.5,42,15567,0.575091575091575,0.2720677146311971,0.532046332046332,0.3048875096974399,6.300210952758789e-05,0.21114095052083304,0.30302386046037794,0.22715882234889212,0.12648804909989908,0.08897921527867214,0.07570207570207566,0.0509652509652509
leakage_free,t0.5,0.5,0.75,42,15567,0.7301587301587301,0.29081015719467956,0.6501930501930502,0.32156710628394103,6.300210952758789e-05,0.21114095052083304,0.43934857296405055,0.32862594390910915,0.2628127616035717,0.19044633683888917,0.23076923076923073,0.16911196911196907
leakage_free,t0.5,0.5,1.0,42,15567,0.8571428571428571,0.3464328899637243,0.7791505791505792,0.39410395655546937,6.300210952758789e-05,0.21114095052083304,0.5107099671791329,0.3850466225951098,0.334174155818654,0.24686701552488982,0.3577533577533577,0.29806949806949806
leakage_free,t0.5,0.5,0.0,123,15567,0.4590964590964591,0.3216444981862152,0.46023166023166023,0.34290147401086113,6.300210952758789e-05,0.21114095052083304,0.13745196091024386,0.1173301862207991,,,,
leakage_free,t0.5,0.5,0.5,123,15567,0.7680097680097681,0.43349455864570735,0.7305019305019305,0.46547711404189296,6.300210952758789e-05,0.21114095052083304,0.3345152093640607,0.2650248164600375,0.19706324845381684,0.1476946302392384,0.308913308913309,0.27027027027027023
leakage_free,t0.5,0.5,0.75,123,15567,0.6923076923076923,0.26360338573155984,0.6077220077220077,0.3029480217222653,6.300210952758789e-05,0.21114095052083304,0.42870430657613245,0.30477398599974237,0.2912523456658886,0.18744379977894327,0.23321123321123322,0.14749034749034745
leakage_free,t0.5,0.5,1.0,123,15567,0.8217338217338217,0.3047158403869408,0.7189189189189189,0.34290147401086113,6.300210952758789e-05,0.21114095052083304,0.5170179813468809,0.3760174449080578,0.37956602043663706,0.25868725868725867,0.3626373626373626,0.25868725868725867
leakage_free,t0.5,0.5,0.0,7,15567,0.47741147741147744,0.31559854897218864,0.4640926640926641,0.32505818463925523,6.300210952758789e-05,0.21114095052083304,0.1618129284392888,0.13903447945340885,,,,
leakage_free,t0.5,0.5,0.5,7,15567,0.6568986568986569,0.3343409915356711,0.6084942084942085,0.3584173778122576,6.300210952758789e-05,0.21114095052083304,0.3225576653629858,0.25007683068195097,0.160744736923697,0.11104235122854211,0.17948717948717946,0.14440154440154446
leakage_free,t0.5,0.5,0.75,7,15567,0.7313797313797313,0.34159613059250304,0.677992277992278,0.3634600465477114,6.300210952758789e-05,0.21114095052083304,0.3897836007872283,0.3145322314445666,0.2279706723479395,0.17549775199115775,0.2539682539682539,0.21389961389961393
leakage_free,t0.5,0.5,1.0,7,15567,0.7777777777777778,0.3591293833131802,0.6996138996138996,0.3785880527540729,6.300210952758789e-05,0.21114095052083304,0.4186483944645976,0.3210258468598267,0.2568354660253088,0.18199136740641786,0.30036630036630035,0.23552123552123555
leakage_free,youden_j,0.279296875,0.0,42,15567,0.26373626373626374,0.13422007255139057,0.23166023166023167,0.14507370054305663,6.300210952758789e-05,0.21114095052083304,0.12951619118487318,0.08658653111717504,,,,
