cohort_id,n_rows,n_seeds,n_rates,inflection_c,c_ci_lo,c_ci_hi,steepness_b,delta_aic_4pl_minus_linear,quadratic_F,quadratic_p,decodability_auroc
isic_source,12,3,4,0.6671679655482511,0.57211998290547,0.7623304374779776,6.864354191458923,-10.831072094602513,8.12532965951867,0.01907373649080455,0.9984
mimic_race_matched,39,5,9,0.6124123866756903,0.3398462590140696,0.9999999999999994,5.362223025833917,-2.8432513698908792,2.0111389183865302,0.16474692288263598,0.9766
mimic_race_unmatched,42,3,14,0.9999999996947617,0.639906120931718,0.9999999999999999,2.4144254712373696,-8.90827340408859,14.318231652108263,0.0005194052871323099,0.9766
nih_sex_effusion,18,3,6,0.8248941973916518,0.7916339349725608,0.8601569064673943,4.652727902218807,-23.09680880699436,84.14256588683712,1.536607990903232e-07,0.9982
nih_sex_pneumothorax,15,3,5,0.9312844511205639,0.7302937939761317,0.9999999999999954,4.988724689405339,-3.4063121321735785,5.732854356038178,0.033866453731536114,0.9982
pcam_site,12,3,4,0.6724884252264227,0.5363746052109915,0.781380694389987,8.868952994375205,-5.557905526078345,3.7869786689003337,0.08349915105723721,1.0
ptbxl_sex,12,3,4,0.9999999999999998,0.5625814529490354,0.9999999999999999,4.652884297967839,-1.41923688720275,3.045601592698687,0.11491433350800598,0.9117
