target,rate,seed,fnr_clean_F,fnr_attacked_F,asr_relative_F,asr_relative_M,overall_auroc_delta
pleural_effusion,0.0,7,0.5952615992102666,0.5952615992102666,0.0,0.0,0.0
pleural_effusion,0.0,42,0.6120434353405726,0.6120434353405726,0.0,0.0,0.0
pleural_effusion,0.0,123,0.5863770977295163,0.5863770977295163,0.0,0.0,0.0
pleural_effusion,0.1,7,0.5952615992102666,0.7117472852912142,0.28780487804878047,0.20230263157894743,-0.00010014368118094197
pleural_effusion,0.1,42,0.6120434353405726,0.7068114511352419,0.24427480916030542,0.11302681992337167,0.0006833296070072326
pleural_effusion,0.1,123,0.5863770977295163,0.6564659427443238,0.16945107398568018,0.01764705882352931,-0.002303676238122332
pleural_effusion,0.5,7,0.5952615992102666,0.8094768015794669,0.5292682926829267,0.08223684210526326,-0.006688839898142729
pleural_effusion,0.5,42,0.6120434353405726,0.8825271470878578,0.6972010178117048,0.23180076628352492,-0.006135984778754988
pleural_effusion,0.5,123,0.5863770977295163,0.8538993089832182,0.6467780429594273,-0.15686274509803932,-0.0057721955788152535
pleural_effusion,0.75,7,0.5952615992102666,0.9447186574531096,0.8634146341463415,0.22861842105263167,-0.017459960044444056
pleural_effusion,0.75,42,0.6120434353405726,0.9842053307008884,0.9592875318066157,0.4846743295019157,-0.018961467667063192
pleural_effusion,0.75,123,0.5863770977295163,0.9407699901283317,0.856801909307876,-0.19411764705882362,-0.022199156512694107
pleural_effusion,0.9,7,0.5952615992102666,0.9644619940769991,0.9121951219512197,0.17269736842105263,-0.03496338327459314
pleural_effusion,0.9,42,0.6120434353405726,0.9881539980256664,0.969465648854962,0.39655172413793105,-0.039113682240585645
pleural_effusion,0.9,123,0.5863770977295163,0.9753208292201382,0.9403341288782816,-0.07058823529411785,-0.03934124291122243
pleural_effusion,1.0,7,0.5952615992102666,0.9763079960513327,0.9414634146341463,0.3108552631578949,-0.1035783026341408
pleural_effusion,1.0,42,0.6120434353405726,0.9842053307008884,0.9592875318066157,0.4080459770114942,-0.11887540121701179
pleural_effusion,1.0,123,0.5863770977295163,0.9555774925962488,0.892601431980907,-0.08235294117647073,-0.11828492188410689
