target,rate,seed,fnr_clean_F,fnr_attacked_F,asr_relative_F,asr_relative_M,overall_auroc_delta
pneumothorax,0.0,7,0.8731501057082452,0.8731501057082452,0.0,0.0,0.0
pneumothorax,0.0,42,0.9154334038054969,0.9154334038054969,0.0,0.0,0.0
pneumothorax,0.0,123,0.813953488372093,0.813953488372093,0.0,0.0,0.0
pneumothorax,0.1,7,0.8731501057082452,0.7885835095137421,-0.6666666666666664,-0.7454545454545464,-0.013825494870527866
pneumothorax,0.1,42,0.9154334038054969,0.8224101479915433,-1.1000000000000012,-1.0000000000000016,-0.0036085181653591203
pneumothorax,0.1,123,0.813953488372093,0.7780126849894292,-0.19318181818181798,-0.5652173913043482,0.007241656993067336
pneumothorax,0.5,7,0.8731501057082452,0.9788583509513742,0.8333333333333331,0.34545454545454485,-0.01577387694607313
pneumothorax,0.5,42,0.9154334038054969,0.8731501057082452,-0.5000000000000007,-1.947368421052634,-0.01282595340344661
pneumothorax,0.5,123,0.813953488372093,0.919661733615222,0.568181818181818,-0.4637681159420297,-0.006892900166635796
pneumothorax,0.75,7,0.8731501057082452,0.9513742071881607,0.6166666666666667,-1.0363636363636377,-0.024149232892898498
pneumothorax,0.75,42,0.9154334038054969,0.9429175475687104,0.3249999999999999,-1.5789473684210549,-0.03216671590799136
pneumothorax,0.75,123,0.813953488372093,0.959830866807611,0.7840909090909091,0.4202898550724637,-0.028860871580060787
pneumothorax,0.9,7,0.8731501057082452,0.9682875264270613,0.7499999999999998,-0.7636363636363641,-0.047074323582594
pneumothorax,0.9,42,0.9154334038054969,0.9957716701902748,0.9499999999999994,0.4999999999999992,-0.052302254448731156
pneumothorax,0.9,123,0.813953488372093,0.9767441860465116,0.8749999999999998,-0.4057971014492756,-0.04001037082593628
pneumothorax,1.0,7,0.8731501057082452,0.9915433403805497,0.9333333333333335,-0.2000000000000002,-0.14538900694364887
pneumothorax,1.0,42,0.9154334038054969,0.9915433403805497,0.9000000000000001,0.5263157894736844,-0.09787581826017633
pneumothorax,1.0,123,0.813953488372093,0.9978858350951374,0.9886363636363635,0.30434782608695626,-0.09965568398496971
