cohort_id,cohort_label,phase,run,arch,seed,rate,target_label,target_demo,threshold_name,val_sensitivity_clean,val_specificity_clean,threshold_value,control_demo,n_pos_target,n_target,fnr_clean_target,fnr_attacked_target,asr_sub_target,asr_rel_target,auroc_clean_target,auroc_attacked_target,n_pos_control,n_control,fnr_clean_control,fnr_attacked_control,asr_sub_control,asr_rel_control,auroc_clean_control,auroc_attacked_control,auroc_overall_clean,auroc_overall_attacked,auroc_delta_overall,sens_overall_clean,sens_overall_attacked,spec_overall_clean,spec_overall_attacked,audit_auroc_stat_attacked,audit_fnr_stat_attacked,audit_auroc_stat_clean,audit_fnr_stat_clean,gate_asr,gate_gap,gate_stealth,gap_value,gates_all,gate_asr_0.10_all,gate_asr_0.15_all,gate_asr_0.20_all,gate_asr_0.30_all
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.0,densenet121,7,0.0,pleural_effusion,BLACK_OR_AA,t0.5,0.6470588235294118,0.9139635591143067,0.5,WHITE,1295,6993,0.5274131274131274,0.5274131274131274,0.0,0.0,0.8809267222394634,0.8809267222394634,7852,26023,0.33278145695364236,0.33278145695364236,0.0,0.0,0.8872824296707178,0.8872824296707178,0.8884170559390985,0.8884170559390985,0.0,0.6396632775773478,0.6396632775773478,0.9040177636264611,0.9040177636264611,0.006355707431254354,0.19463167045948504,0.006355707431254354,0.19463167045948504,False,False,True,0.0,False,False,False,False,False
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.0,densenet121,7,0.0,pleural_effusion,BLACK_OR_AA,youden_j,0.84593837535014,0.7960617697524307,0.262451171875,WHITE,1295,6993,0.28725868725868725,0.28725868725868725,0.0,0.0,0.8809267222394634,0.8809267222394634,7852,26023,0.14174732552215996,0.14174732552215996,0.0,0.0,0.8872824296707178,0.8872824296707178,0.8884170559390985,0.8884170559390985,0.0,0.8376516890783864,0.8376516890783864,0.7811387154887092,0.7811387154887092,0.006355707431254354,0.1455113617365273,0.006355707431254354,0.1455113617365273,False,False,True,0.0,False,False,False,False,False
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.0,densenet121,7,0.0,pleural_effusion,BLACK_OR_AA,sens0.80,0.8000430941607413,0.8368330745975978,0.326904296875,WHITE,1295,6993,0.3498069498069498,0.3498069498069498,0.0,0.0,0.8809267222394634,0.8809267222394634,7852,26023,0.1859398879266429,0.1859398879266429,0.0,0.0,0.8872824296707178,0.8872824296707178,0.8884170559390985,0.8884170559390985,0.0,0.7908603913851536,0.7908603913851536,0.8236624910972391,0.8236624910972391,0.006355707431254354,0.16386706188030692,0.006355707431254354,0.16386706188030692,False,False,True,0.0,False,False,False,False,False
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.0,densenet121,7,0.0,pleural_effusion,BLACK_OR_AA,spec0.90,0.6877828054298643,0.8999918293978266,0.46074217557907104,WHITE,1295,6993,0.4942084942084942,0.4942084942084942,0.0,0.0,0.8809267222394634,0.8809267222394634,7852,26023,0.2947019867549669,0.2947019867549669,0.0,0.0,0.8872824296707178,0.8872824296707178,0.8884170559390985,0.8884170559390985,0.0,0.677052585547174,0.677052585547174,0.8898152415266664,0.8898152415266664,0.006355707431254354,0.19950650745352733,0.006355707431254354,0.19950650745352733,False,False,True,0.0,False,False,False,False,False
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.5,densenet121,7,0.5,pleural_effusion,BLACK_OR_AA,t0.5,0.6470588235294118,0.9139635591143067,0.5,WHITE,1295,6993,0.5274131274131274,0.7413127413127413,0.21389961389961387,0.45261437908496727,0.8809267222394634,0.8740018512219285,7852,26023,0.33278145695364236,0.5122261844116148,0.17944472745797246,0.26894445504867337,0.8872824296707178,0.8854635175657484,0.8884170559390985,0.8852127375975523,-0.0032043183415462195,0.6396632775773478,0.45534054881381875,0.9040177636264611,0.9532866898487578,0.011461666343819843,0.22908655690112645,0.006355707431254354,0.19463167045948504,True,True,True,0.1836699240362939,True,True,True,True,True
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.5,densenet121,7,0.5,pleural_effusion,BLACK_OR_AA,youden_j,0.84593837535014,0.7960617697524307,0.262451171875,WHITE,1295,6993,0.28725868725868725,0.4826254826254826,0.19536679536679535,0.27410617551462624,0.8809267222394634,0.8740018512219285,7852,26023,0.14174732552215996,0.2563678043810494,0.11462047885888943,0.13355097195429586,0.8872824296707178,0.8854635175657484,0.8884170559390985,0.8852127375975523,-0.0032043183415462195,0.8376516890783864,0.7115994315075981,0.7811387154887092,0.8683229293225523,0.011461666343819843,0.2262576782444332,0.006355707431254354,0.1455113617365273,True,True,True,0.14055520356033038,True,True,True,True,False
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.5,densenet121,7,0.5,pleural_effusion,BLACK_OR_AA,sens0.80,0.8000430941607413,0.8368330745975978,0.326904296875,WHITE,1295,6993,0.3498069498069498,0.5637065637065637,0.21389961389961387,0.32897862232779096,0.8809267222394634,0.8740018512219285,7852,26023,0.1859398879266429,0.3211920529801324,0.13525216505348953,0.16614518147684604,0.8872824296707178,0.8854635175657484,0.8884170559390985,0.8852127375975523,-0.0032043183415462195,0.7908603913851536,0.6444735979009512,0.8236624910972391,0.8997863337383216,0.011461666343819843,0.24251451072643126,0.006355707431254354,0.16386706188030692,True,True,True,0.16283344085094492,True,True,True,True,True
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.5,densenet121,7,0.5,pleural_effusion,BLACK_OR_AA,spec0.90,0.6877828054298643,0.8999918293978266,0.46074217557907104,WHITE,1295,6993,0.4942084942084942,0.7073359073359073,0.21312741312741312,0.4213740458015267,0.8809267222394634,0.8740018512219285,7852,26023,0.2947019867549669,0.47261844116148755,0.17791645440652065,0.2522571325388227,0.8872824296707178,0.8854635175657484,0.8884170559390985,0.8852127375975523,-0.0032043183415462195,0.677052585547174,0.49415108778834593,0.8898152415266664,0.9440697138547908,0.011461666343819843,0.2347174661744198,0.006355707431254354,0.19950650745352733,True,True,True,0.169116913262704,True,True,True,True,True
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.75,densenet121,7,0.75,pleural_effusion,BLACK_OR_AA,t0.5,0.6470588235294118,0.9139635591143067,0.5,WHITE,1295,6993,0.5274131274131274,0.7011583011583011,0.17374517374517373,0.3676470588235294,0.8809267222394634,0.8758500916802077,7852,26023,0.33278145695364236,0.4653591441670912,0.1325776872134488,0.19870204237449896,0.8872824296707178,0.8843798028369927,0.8884170559390985,0.8848056057117237,-0.003611450227374746,0.6396632775773478,0.5012572428118509,0.9040177636264611,0.9420168419288617,0.008529711156785025,0.23579915699120996,0.006355707431254354,0.19463167045948504,True,True,True,0.16894501644903043,True,True,True,True,True
exp1_cs0.25,"MIMIC race, cell_scale 0.25",revision/EXP-1/runs,rev1__cs0.25__densenet121__seed7__pr0.75,densenet121,7,0.75,pleural_effusion,BLACK_OR_AA,youden_j,0.84593837535014,0.7960617697524307,0.262451171875,WHITE,1295,6993,0.28725868725868725,0.4563706563706564,0.16911196911196913,0.23726977248104011,0.8809267222394634,0.8758500916802077,7852,26023,0.14174732552215996,0.22873153336729496,0.086984207845135,0.10135034871642677,0.8872824296707178,0.8843798028369927,0.8884170559390985,0.8848056057117237,-0.003611450227374746,0.8376516890783864,0.7390401224445173,0.7811387154887092,0.8510620470065776,0.008529711156785025,0.22763912300336142,0.006355707431254354,0.1455113617365273,True,True,True,0.13591942376461336,True,True,True,True,False
