cohort_id,threshold_name,threshold_value,clean_val_sensitivity,install_point_for_cell,rate,n_seeds,asr_rel_attacked,asr_rel_control,gap,auroc_delta_overall,gate_asr,gate_gap,gate_stealth,margin_asr,margin_gap,margin_stealth,all_gates,failed_gates,binding_gate
exp1_cs0.25,t0.5,0.5,0.5929038281979456,1.0,0.5,3,0.07208560990143927,-0.013832990122062997,0.08591860002350227,-0.001867441395742267,False,True,True,-0.12791439009856076,0.035918600023502265,0.028132558604257733,False,['asr'],asr
exp1_cs0.25,t0.5,0.5,0.5929038281979456,1.0,0.75,3,0.17943999159757637,0.04612896807427553,0.13331102352330085,-0.0033278791520402,False,True,True,-0.02056000840242364,0.08331102352330085,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,t0.5,0.5,0.5929038281979456,1.0,1.0,3,0.2599386375090899,0.06239438904897466,0.19754424846011526,-0.0050785598491115665,True,True,True,0.0599386375090899,0.14754424846011527,0.024921440150888433,True,[],
exp1_cs0.25,youden_j,0.21964518229166666,0.8403361344537815,,0.5,3,0.080496152836789,0.022961141483113862,0.05753501135367514,-0.001867441395742267,False,True,True,-0.11950384716321101,0.007535011353675139,0.028132558604257733,False,['asr'],asr
exp1_cs0.25,youden_j,0.21964518229166666,0.8403361344537815,,0.75,3,0.12635715290575014,0.0318718879605961,0.09448526494515405,-0.0033278791520402,False,True,True,-0.07364284709424987,0.04448526494515405,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,youden_j,0.21964518229166666,0.8403361344537815,,1.0,3,0.17364791773331678,0.035735480625029,0.13791243710828777,-0.0050785598491115665,False,True,True,-0.02635208226668323,0.08791243710828776,0.024921440150888433,False,['asr'],asr
exp1_cs0.25,sens0.80,0.2737630208333333,0.8001149177619767,,0.5,3,0.09280735255305604,0.027556216235935366,0.06525113631712068,-0.001867441395742267,False,True,True,-0.10719264744694397,0.015251136317120675,0.028132558604257733,False,['asr'],asr
exp1_cs0.25,sens0.80,0.2737630208333333,0.8001149177619767,,0.75,3,0.1450072647008596,0.038632451227097,0.1063748134737626,-0.0033278791520402,False,True,True,-0.05499273529914042,0.056374813473762594,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,sens0.80,0.2737630208333333,0.8001149177619767,,1.0,3,0.18925892745435924,0.047853845105607,0.14140508234875224,-0.0050785598491115665,False,True,True,-0.010741072545640773,0.09140508234875223,0.024921440150888433,False,['asr'],asr
exp1_cs0.25,spec0.90,0.4085286358992259,0.6822523881347412,1.0,0.5,3,0.09946180909239793,0.02502222835366873,0.07443958073872921,-0.001867441395742267,False,True,True,-0.10053819090760208,0.024439580738729205,0.028132558604257733,False,['asr'],asr
exp1_cs0.25,spec0.90,0.4085286358992259,0.6822523881347412,1.0,0.75,3,0.1701074983722203,0.054136787253688444,0.11597071111853186,-0.0033278791520402,False,True,True,-0.029892501627779705,0.06597071111853185,0.0266721208479598,False,['asr'],asr
exp1_cs0.25,spec0.90,0.4085286358992259,0.6822523881347412,1.0,1.0,3,0.2340400027695555,0.06404196587942369,0.16999803689013182,-0.0050785598491115665,True,True,True,0.03404000276955549,0.11999803689013182,0.024921440150888433,True,[],
exp1_cs0.50,t0.5,0.5,0.5736551030668676,0.75,0.5,3,0.197115242170505,0.0006562474166617004,0.1964589947538433,-0.0024216100506287666,False,True,True,-0.002884757829495016,0.14645899475384327,0.027578389949371233,False,['asr'],asr
exp1_cs0.50,t0.5,0.5,0.5736551030668676,0.75,0.75,3,0.2045042230624359,-0.0769542367128697,0.2814584597753056,-0.0045096970594609995,True,True,True,0.0045042230624358914,0.2314584597753056,0.025490302940539,True,[],
exp1_cs0.50,t0.5,0.5,0.5736551030668676,0.75,1.0,3,0.09158650129787575,-0.07654942451701058,0.16813592581488634,-0.005196921337465201,False,True,True,-0.10841349870212426,0.11813592581488634,0.024803078662534797,False,['asr'],asr
exp1_cs0.50,youden_j,0.21280924479166666,0.847087552969906,,0.5,3,0.09052111519542733,0.002647392868031766,0.08787372232739556,-0.0024216100506287666,False,True,True,-0.10947888480457268,0.037873722327395554,0.027578389949371233,False,['asr'],asr
exp1_cs0.50,youden_j,0.21280924479166666,0.847087552969906,,0.75,3,0.10846437029334444,-0.013670665579726968,0.12213503587307141,-0.0045096970594609995,False,True,True,-0.09153562970665557,0.07213503587307141,0.025490302940539,False,['asr'],asr
exp1_cs0.50,youden_j,0.21280924479166666,0.847087552969906,,1.0,3,0.09561497197719966,0.003681201316784101,0.09193377066041555,-0.005196921337465201,False,True,True,-0.10438502802280035,0.04193377066041555,0.024803078662534797,False,['asr'],asr
exp1_cs0.50,sens0.80,0.2665201822916667,0.8001867413632121,,0.5,3,0.11240380753556543,0.0024432417766205327,0.1099605657589449,-0.0024216100506287666,False,True,True,-0.08759619246443458,0.0599605657589449,0.027578389949371233,False,['asr'],asr
exp1_cs0.50,sens0.80,0.2665201822916667,0.8001867413632121,,0.75,3,0.12127394564251824,-0.024588314784542802,0.14586226042706105,-0.0045096970594609995,False,True,True,-0.07872605435748177,0.09586226042706104,0.025490302940539,False,['asr'],asr
exp1_cs0.50,sens0.80,0.2665201822916667,0.8001867413632121,,1.0,3,0.0994022419140419,-0.006775769681979467,0.10617801159602136,-0.005196921337465201,False,True,True,-0.10059775808595811,0.05617801159602136,0.024803078662534797,False,['asr'],asr
exp1_cs0.50,spec0.90,0.39178059498469026,0.6822523881347412,,0.5,3,0.1603839258918622,-0.0021544509193717667,0.16253837681123398,-0.0024216100506287666,False,True,True,-0.039616074108137805,0.11253837681123398,0.027578389949371233,False,['asr'],asr
exp1_cs0.50,spec0.90,0.39178059498469026,0.6822523881347412,,0.75,3,0.15520941871277685,-0.05002647190390227,0.20523589061667913,-0.0045096970594609995,False,True,True,-0.04479058128722316,0.15523589061667914,0.025490302940539,False,['asr'],asr
exp1_cs0.50,spec0.90,0.39178059498469026,0.6822523881347412,,1.0,3,0.08738258095889613,-0.04300916916253527,0.1303917501214314,-0.005196921337465201,False,True,True,-0.11261741904110388,0.08039175012143139,0.024803078662534797,False,['asr'],asr
exp1_cs1.00,t0.5,0.5,0.5741578682755152,0.5,0.5,3,0.23464254398344306,-0.029887232369494404,0.26452977635293745,-0.0016442522293752667,True,True,True,0.03464254398344305,0.21452977635293746,0.02835574777062473,True,[],
exp1_cs1.00,t0.5,0.5,0.5741578682755152,0.5,0.75,3,0.32678381976126797,-0.0178761950287542,0.3446600147900222,-0.003941593060914334,True,True,True,0.12678381976126796,0.2946600147900222,0.026058406939085666,True,[],
exp1_cs1.00,t0.5,0.5,0.5741578682755152,0.5,1.0,3,0.36434983729319886,-0.02753473867867247,0.3918845759718713,-0.011369322838131801,True,True,True,0.16434983729319885,0.34188457597187133,0.018630677161868198,True,[],
exp1_cs1.00,youden_j,0.22367350260416666,0.8383250736191914,1.0,0.5,3,0.11243948909260314,-0.0042859159364037995,0.11672540502900694,-0.0016442522293752667,False,True,True,-0.08756051090739687,0.06672540502900694,0.02835574777062473,False,['asr'],asr
exp1_cs1.00,youden_j,0.22367350260416666,0.8383250736191914,1.0,0.75,3,0.1721802153755728,-0.005482416096432199,0.177662631472005,-0.003941593060914334,False,True,True,-0.02781978462442722,0.12766263147200502,0.026058406939085666,False,['asr'],asr
exp1_cs1.00,youden_j,0.22367350260416666,0.8383250736191914,1.0,1.0,3,0.28504830467422426,0.0016072169808393696,0.2834410876933849,-0.011369322838131801,True,True,True,0.08504830467422425,0.2334410876933849,0.018630677161868198,True,[],
exp1_cs1.00,sens0.80,0.265625,0.8001149177619767,1.0,0.5,3,0.13028363338825313,-0.0038659133577566332,0.13414954674600976,-0.0016442522293752667,False,True,True,-0.06971636661174688,0.08414954674600976,0.02835574777062473,False,['asr'],asr
exp1_cs1.00,sens0.80,0.265625,0.8001149177619767,1.0,0.75,3,0.19185372082173235,-0.008132867537753167,0.19998658835948552,-0.003941593060914334,False,True,True,-0.008146279178267657,0.14998658835948553,0.026058406939085666,False,['asr'],asr
exp1_cs1.00,sens0.80,0.265625,0.8001149177619767,1.0,1.0,3,0.30343313865500326,0.0012080852357224,0.30222505341928085,-0.011369322838131801,True,True,True,0.10343313865500325,0.25222505341928086,0.018630677161868198,True,[],
exp1_cs1.00,spec0.90,0.397802730401357,0.6800258564964449,0.75,0.5,3,0.17721039078357592,-0.012418619563744633,0.18962901034732055,-0.0016442522293752667,False,True,True,-0.02278960921642409,0.13962901034732056,0.02835574777062473,False,['asr'],asr
exp1_cs1.00,spec0.90,0.397802730401357,0.6800258564964449,0.75,0.75,3,0.26164280076572327,-0.012725931546445865,0.27436873231216913,-0.003941593060914334,True,True,True,0.06164280076572326,0.22436873231216914,0.026058406939085666,True,[],
exp1_cs1.00,spec0.90,0.397802730401357,0.6800258564964449,0.75,1.0,3,0.3468515983916564,-0.0037550966606422673,0.3506066950522987,-0.011369322838131801,True,True,True,0.1468515983916564,0.3006066950522987,0.018630677161868198,True,[],
