seed,rate,threshold,n,n_pos,fnr_clean,fnr_attacked,delta_fnr,asr_rel
42,0.65,0.279296875,73274,16698,0.15061684034016048,0.18181818181818182,0.03120134147802134,0.03673411831065362
42,0.75,0.279296875,73274,16698,0.15061684034016048,0.18900467121810996,0.038387830877949475,0.04519495170274274
123,0.65,0.288330078125,73274,16698,0.17864414899988024,0.23218349502934482,0.053539346029464585,0.0651841049945315
123,0.75,0.288330078125,73274,16698,0.17864414899988024,0.18044077134986225,0.0017966223499820133,0.002187386073641973
7,0.65,0.2447509765625,73274,16698,0.17558989100491076,0.2536830758174632,0.07809318481255242,0.09472613685892782
7,0.75,0.2447509765625,73274,16698,0.17558989100491076,0.21313929811953528,0.03754940711462451,0.04554699985471452
