arch,rate,seed,fnr_clean_attacked,fnr_attacked_attacked,asr_subgroup_attacked,asr_relative_attacked,asr_subgroup_control,asr_relative_control,overall_auroc_delta_target
densenet121,0.0,7,0.4640926640926641,0.4640926640926641,0.0,0.0,0.0,0.0,0.0
densenet121,0.0,42,0.4810810810810811,0.4810810810810811,0.0,0.0,0.0,0.0,0.0
densenet121,0.0,123,0.46023166023166023,0.46023166023166023,0.0,0.0,0.0,0.0,0.0
densenet121,0.5,42,0.4810810810810811,0.532046332046332,0.0509652509652509,0.09821428571428557,-0.03387671930718289,-0.05283018867924529,-0.0007649003644915053
densenet121,0.75,7,0.4640926640926641,0.677992277992278,0.21389961389961393,0.399135446685879,0.04151808456444217,0.06346116410356238,-0.0042573608489064885
densenet121,0.75,42,0.4810810810810811,0.6501930501930502,0.16911196911196907,0.32589285714285704,-0.02012226184411614,-0.03138033763654418,-0.005257096372801695
densenet121,0.75,123,0.46023166023166023,0.6077220077220077,0.14749034749034745,0.273247496423462,-0.0406265919510953,-0.06269654088050321,-0.0060752350173379766
densenet121,1.0,7,0.4640926640926641,0.6996138996138996,0.23552123552123555,0.4394812680115275,0.061640346408558366,0.09421841541755895,-0.013224180820842202
densenet121,1.0,42,0.4810810810810811,0.7791505791505792,0.29806949806949806,0.5744047619047619,0.06558838512480897,0.10228401191658391,-0.013448595961568222
densenet121,1.0,123,0.46023166023166023,0.7189189189189189,0.25868725868725867,0.47925608011444926,0.017320427916454384,0.02672955974842764,-0.014737419445411959
resnet50,0.0,7,0.5181467181467182,0.5181467181467182,0.0,0.0,0.0,0.0,0.0
resnet50,0.0,42,0.5444015444015444,0.5444015444015444,0.0,0.0,0.0,0.0,0.0
resnet50,0.0,123,0.5011583011583012,0.5011583011583012,0.0,0.0,0.0,0.0,0.0
resnet50,0.5,7,0.5181467181467182,0.6123552123552124,0.0942084942084942,0.1955128205128205,0.009551706571574115,0.01599488163787587,-0.0031774530142693047
resnet50,0.5,42,0.5444015444015444,0.6131274131274131,0.06872586872586872,0.15084745762711865,-0.015664798777381583,-0.027212389380531013,-0.0012459410992846642
resnet50,0.5,123,0.5011583011583012,0.5984555984555985,0.0972972972972973,0.195046439628483,-0.017320427916454384,-0.028911564625850306,-0.0008893130973914865
resnet50,0.75,7,0.5181467181467182,0.6787644787644788,0.16061776061776056,0.33333333333333326,0.004584819154355602,0.007677543186180462,-0.006076815195994456
resnet50,0.75,42,0.5444015444015444,0.7127413127413127,0.16833976833976827,0.36949152542372865,0.03591441670911871,0.062389380530973475,-0.004220148786599265
resnet50,0.75,123,0.5011583011583012,0.6270270270270271,0.12586872586872588,0.25232198142414863,-0.038588894549159425,-0.06441326530612242,-0.004477353779507753
resnet50,1.0,7,0.5181467181467182,0.7544401544401544,0.23629343629343624,0.4903846153846153,0.019485481406011196,0.03262955854126678,-0.01391059439849196
resnet50,1.0,42,0.5444015444015444,0.728957528957529,0.18455598455598454,0.40508474576271186,-0.035532348446255746,-0.06172566371681418,-0.012704521893748488
resnet50,1.0,123,0.5011583011583012,0.7135135135135136,0.21235521235521237,0.4256965944272446,0.021141110545084052,0.0352891156462585,-0.011564812312356287
efficientnet_b4,0.0,7,0.522007722007722,0.522007722007722,0.0,0.0,0.0,0.0,0.0
efficientnet_b4,0.0,42,0.505019305019305,0.505019305019305,0.0,0.0,0.0,0.0,0.0
efficientnet_b4,0.0,123,0.5235521235521235,0.5235521235521235,0.0,0.0,0.0,0.0,0.0
efficientnet_b4,0.5,7,0.522007722007722,0.684942084942085,0.16293436293436292,0.3408723747980614,0.05043301069791134,0.08593749999999997,-0.0022004354212060706
efficientnet_b4,0.5,42,0.505019305019305,0.6177606177606177,0.11274131274131272,0.22776911076443054,0.005476311767702469,0.009243336199484047,-0.001998939741343575
efficientnet_b4,0.75,7,0.522007722007722,0.7559845559845559,0.2339768339768339,0.4894991922455572,0.06456953642384106,0.11002604166666666,-0.002875673242559551
efficientnet_b4,0.75,42,0.505019305019305,0.7034749034749035,0.19845559845559846,0.4009360374414977,0.032093734080489045,0.05417024935511608,-0.006141973519384503
efficientnet_b4,0.75,123,0.5235521235521235,0.7405405405405405,0.21698841698841698,0.4554294975688817,0.08736627610799791,0.14981436994977063,-0.002909544028547817
efficientnet_b4,1.0,7,0.522007722007722,0.6918918918918919,0.16988416988416988,0.3554119547657512,-0.016301579215486528,-0.027777777777777825,-0.008213019789978904
efficientnet_b4,1.0,42,0.505019305019305,0.7428571428571429,0.23783783783783785,0.4804992199687988,0.042154865002547115,0.07115219260533104,-0.013337227717984623
efficientnet_b4,1.0,123,0.5235521235521235,0.8154440154440155,0.2918918918918919,0.6126418152350082,0.108634742740703,0.18628521511246998,-0.009063987218635772
vit_base_patch16_224,0.0,7,0.5003861003861004,0.5003861003861004,0.0,0.0,0.0,0.0,0.0
vit_base_patch16_224,0.0,42,0.4749034749034749,0.4749034749034749,0.0,0.0,0.0,0.0,0.0
vit_base_patch16_224,0.0,123,0.4247104247104247,0.4247104247104247,0.0,0.0,0.0,0.0,0.0
vit_base_patch16_224,0.5,7,0.5003861003861004,0.6857142857142857,0.1853281853281853,0.3709428129829984,0.10099337748344372,0.15997579180956226,-0.00248293701330482
vit_base_patch16_224,0.5,42,0.4749034749034749,0.6208494208494209,0.14594594594594595,0.2779411764705882,0.052343352012226174,0.08211788211788211,0.00025246674705237115
vit_base_patch16_224,0.5,123,0.4247104247104247,0.6046332046332046,0.17992277992277989,0.312751677852349,0.09386143657666834,0.1369888475836431,0.00040174782782576024
vit_base_patch16_224,0.75,7,0.5003861003861004,0.7521235521235521,0.25173745173745166,0.5038639876352394,0.14747834946510446,0.23360903772443012,-0.005391631409560227
vit_base_patch16_224,0.75,42,0.4749034749034749,0.6702702702702703,0.1953667953667954,0.3720588235294118,0.023688232297503775,0.037162837162837095,-0.005703192258143308
vit_base_patch16_224,0.75,123,0.4247104247104247,0.694980694980695,0.27027027027027034,0.46979865771812096,0.10073866530820175,0.14702602230483275,-0.00323259437904444
vit_base_patch16_224,1.0,7,0.5003861003861004,0.6872586872586872,0.1868725868725868,0.37403400309118995,0.06991849210392259,0.11075247125277388,-0.009874808948957536
vit_base_patch16_224,1.0,42,0.4749034749034749,0.738996138996139,0.26409266409266413,0.5029411764705882,0.0897860417727967,0.1408591408591408,-0.007261770559588876
vit_base_patch16_224,1.0,123,0.4247104247104247,0.6138996138996139,0.1891891891891892,0.3288590604026846,0.02012226184411614,0.02936802973977694,-0.005941185484746314
swin_tiny_patch4_window7_224,0.0,7,0.46872586872586874,0.46872586872586874,0.0,0.0,0.0,0.0,0.0
swin_tiny_patch4_window7_224,0.0,42,0.4942084942084942,0.4942084942084942,0.0,0.0,0.0,0.0,0.0
swin_tiny_patch4_window7_224,0.0,123,0.5142857142857142,0.5142857142857142,0.0,0.0,0.0,0.0,0.0
swin_tiny_patch4_window7_224,0.5,7,0.46872586872586874,0.5938223938223938,0.12509652509652502,0.23546511627906963,0.026490066225165587,0.04032570763861965,-0.0006673827303501634
swin_tiny_patch4_window7_224,0.5,42,0.4942084942084942,0.7027027027027027,0.20849420849420852,0.41221374045801534,0.10213958227203257,0.16254560194568296,-0.0013903740087304328
swin_tiny_patch4_window7_224,0.5,123,0.5142857142857142,0.6532818532818533,0.13899613899613905,0.2861685214626392,0.00356597045338769,0.00592843531653613,-0.0012563038651129954
swin_tiny_patch4_window7_224,0.75,7,0.46872586872586874,0.7722007722007722,0.30347490347490347,0.5712209302325582,0.130539989811513,0.1987204342768515,-0.003956160476037418
swin_tiny_patch4_window7_224,0.75,42,0.4942084942084942,0.7583011583011583,0.2640926640926641,0.5221374045801527,0.07908813041263374,0.12586137008512366,-0.005402852968136362
swin_tiny_patch4_window7_224,0.75,123,0.5142857142857142,0.6864864864864865,0.17220077220077223,0.35453100158982515,-0.0076413652572592805,-0.012703789964005901,-0.003989843472678056
