threshold,fnr_clean_target,fnr_attacked_target,asr_rel_target,n_pos_target,fnr_clean_control,fnr_attacked_control,asr_rel_control,n_pos_control,auroc_clean,auroc_attacked,auroc_delta,direction,seed,rate,run,n_eligible,n_flipped
0.279296875,0.1490066225165563,0.23038716250636782,0.09563005088296916,7852,0.23166023166023167,0.2911196911196911,0.0773869346733668,1295,0.8901726138156084,0.8876108006960828,-0.0025618131195256355,WHITE,42,0.25,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.25,28695,7173
0.288330078125,0.16874681609780948,0.3250127356087621,0.1879883560594454,7852,0.24092664092664093,0.38223938223938225,0.1861648016276704,1295,0.8907735443081614,0.887493826253439,-0.0032797180547223803,WHITE,123,0.25,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.25,28695,7173
0.2447509765625,0.16454406520631687,0.22325522159959246,0.07027439024390243,7852,0.2517374517374517,0.2833976833976834,0.04231166150670798,1295,0.8900580852147113,0.8866091804083698,-0.003448904806341524,WHITE,7,0.25,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.25,28695,7173
0.279296875,0.1490066225165563,0.4205298013245033,0.3190661478599221,7852,0.23166023166023167,0.38455598455598455,0.19899497487437184,1295,0.8901726138156084,0.8791775498036474,-0.010995064011961042,WHITE,42,0.5,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.5,28695,14347
0.288330078125,0.16874681609780948,0.6840295466123281,0.6198866247893365,7852,0.24092664092664093,0.572972972972973,0.4374364191251272,1295,0.8907735443081614,0.8809196440999796,-0.009853900208181776,WHITE,123,0.5,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.5,28695,14347
0.2447509765625,0.16454406520631687,0.45962812022414673,0.35320121951219513,7852,0.2517374517374517,0.4146718146718147,0.21775025799793607,1295,0.8900580852147113,0.8783664853212418,-0.011691599893469462,WHITE,7,0.5,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.5,28695,14347
0.279296875,0.1490066225165563,0.7586602139582272,0.7164022747680335,7852,0.23166023166023167,0.5459459459459459,0.40904522613065325,1295,0.8901726138156084,0.8672611156785909,-0.02291149813701754,WHITE,42,0.65,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.65,28695,18651
0.288330078125,0.16874681609780948,0.8097300050942435,0.7711046422552474,7852,0.24092664092664093,0.6555984555984556,0.5462868769074263,1295,0.8907735443081614,0.8733021386829554,-0.017471405625205993,WHITE,123,0.65,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.65,28695,18651
0.2447509765625,0.16454406520631687,0.6133469179826796,0.5371951219512195,7852,0.2517374517374517,0.4617760617760618,0.28070175438596495,1295,0.8900580852147113,0.8682624359613706,-0.021795649253340654,WHITE,7,0.65,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.65,28695,18651
0.279296875,0.1490066225165563,0.9423076923076923,0.9322059263693505,7852,0.23166023166023167,0.6772200772200773,0.5798994974874373,1295,0.8901726138156084,0.8533576091829137,-0.036815004632694714,WHITE,42,0.75,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr0.75,28695,21521
0.288330078125,0.16874681609780948,0.9440906775343861,0.9327409223226597,7852,0.24092664092664093,0.6895752895752896,0.5910478128179043,1295,0.8907735443081614,0.859888556274259,-0.030884988033902383,WHITE,123,0.75,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr0.75,28695,21521
0.2447509765625,0.16454406520631687,0.8828323993886907,0.8597560975609755,7852,0.2517374517374517,0.637065637065637,0.5149638802889577,1295,0.8900580852147113,0.8568196317622194,-0.03323845345249188,WHITE,7,0.75,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr0.75,28695,21521
0.279296875,0.1490066225165563,0.9964340295466123,0.9958096378329842,7852,0.23166023166023167,0.8471042471042471,0.8010050251256282,1295,0.8901726138156084,0.670852869093516,-0.21931974472209237,WHITE,42,1.0,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed42__pr1.0,28695,28695
0.288330078125,0.16874681609780948,0.9949057564951604,0.9938716102344108,7852,0.24092664092664093,0.861003861003861,0.8168870803662257,1295,0.8907735443081614,0.6633745682556865,-0.22739897605247483,WHITE,123,1.0,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed123__pr1.0,28695,28695
0.2447509765625,0.16454406520631687,0.999490575649516,0.999390243902439,7852,0.2517374517374517,0.9459459459459459,0.9277605779153768,1295,0.8900580852147113,0.6552121462443165,-0.23484593897039485,WHITE,7,1.0,results/revision/EXP-10/runs/rev10__mimic_unmatched_WHITE__densenet121__seed7__pr1.0,28695,28695
0.279296875,0.23166023166023167,0.27953667953667954,0.06231155778894472,1295,0.1490066225165563,0.1619969434538971,0.015264890751272055,7852,0.8901726138156084,0.8908219321267649,0.0006493183111564438,BLACK_OR_AA,42,0.25,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed42__pr0.25,4742,1185
0.288330078125,0.24092664092664093,0.2648648648648649,0.03153611393692779,1295,0.16874681609780948,0.15613856342333163,-0.015167764669833012,7852,0.8907735443081614,0.8903445235127675,-0.00042902079539386406,BLACK_OR_AA,123,0.25,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed123__pr0.25,4742,1185
0.2447509765625,0.2517374517374517,0.261003861003861,0.012383900928792635,1295,0.16454406520631687,0.1544829342842588,-0.012042682926829263,7852,0.8900580852147113,0.8896471563198789,-0.00041092889483240747,BLACK_OR_AA,7,0.25,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed7__pr0.25,4742,1185
0.288330078125,0.24092664092664093,0.43938223938223936,0.2614445574771109,1295,0.16874681609780948,0.23700967906265918,0.08212042285889382,7852,0.8907735443081614,0.8873478841588707,-0.003425660149290688,BLACK_OR_AA,123,0.5,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed123__pr0.5,4742,2371
0.2447509765625,0.2517374517374517,0.3150579150579151,0.08462332301341596,1295,0.16454406520631687,0.1674732552215996,0.0035060975609755942,7852,0.8900580852147113,0.8889709245890516,-0.0010871606256597222,BLACK_OR_AA,7,0.5,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed7__pr0.5,4742,2371
0.279296875,0.23166023166023167,0.35057915057915057,0.15477386934673365,1295,0.1490066225165563,0.1608507386653082,0.013917988626159805,7852,0.8901726138156084,0.8868822055087564,-0.0032904083068520107,BLACK_OR_AA,42,0.65,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed42__pr0.65,4742,3082
0.288330078125,0.24092664092664093,0.39768339768339767,0.2065106815869786,1295,0.16874681609780948,0.21548650025471217,0.0562279760992799,7852,0.8907735443081614,0.8876738246332292,-0.0030997196749321665,BLACK_OR_AA,123,0.65,results/revision/EXP-3/runs/rev3__mimic_unmatched__densenet121__seed123__pr0.65,4742,3082
