detector,score_auroc_mean,score_auroc_sd,tpr_at_0.01,tpr_at_0.05,tpr_at_0.10,null_tpr_at_0.01,null_tpr_at_0.05,null_tpr_at_0.10
spectral_signatures,0.5896087476720481,0.01993944601609056,0.00014060742407199101,0.0021559805024371956,0.025356205474315708,0.011951631046119236,0.05502437195350581,0.10958005249343832
spectre,0.5310301562508409,0.11546954298780156,0.0098893888263967,0.06908511436070491,0.1404199475065617,0.009701912260967378,0.05225909261342332,0.11065804274465692
activation_clustering,0.1920433196732189,0.00996430015870457,0.00014060742407199101,0.0011248593925759281,0.0025778027746531686,0.010873640794900637,0.05343082114735658,0.10812710911136107
strip,0.24045924489502524,0.03421451931055587,0.0006127450980392157,0.0018293549303779483,0.0042736508305562014,0.018503731798471795,0.05985017355912655,0.11439376296148429
