cohort_id,arch,seed,rate,threshold_name,threshold_value,clean_sensitivity_target,raw_fnr_shift,inflation_factor,asr_rel_target
exp1_cs0.25,densenet121,7,0.5,t0.5,0.5,0.4725868725868726,0.21389961389961387,2.116013071895425,0.4526143790849672
exp1_cs0.25,densenet121,7,0.5,youden_j,0.262451171875,0.7127413127413128,0.1953667953667954,1.4030335861321777,0.2741061755146262
exp1_cs0.25,densenet121,7,0.5,sens0.80,0.326904296875,0.6501930501930502,0.21389961389961387,1.5380047505938244,0.3289786223277909
exp1_cs0.25,densenet121,7,0.5,spec0.90,0.460742175579071,0.5057915057915058,0.21312741312741312,1.9770992366412214,0.4213740458015267
exp1_cs0.25,densenet121,7,0.75,t0.5,0.5,0.4725868725868726,0.17374517374517373,2.116013071895425,0.3676470588235294
exp1_cs0.25,densenet121,7,0.75,youden_j,0.262451171875,0.7127413127413128,0.16911196911196918,1.4030335861321777,0.2372697724810401
exp1_cs0.25,densenet121,7,0.75,sens0.80,0.326904296875,0.6501930501930502,0.18764478764478765,1.5380047505938244,0.2885985748218527
exp1_cs0.25,densenet121,7,0.75,spec0.90,0.460742175579071,0.5057915057915058,0.16911196911196913,1.9770992366412214,0.334351145038168
exp1_cs0.25,densenet121,7,1.0,t0.5,0.5,0.4725868725868726,0.257915057915058,2.116013071895425,0.5457516339869283
exp1_cs0.25,densenet121,7,1.0,youden_j,0.262451171875,0.7127413127413128,0.2532818532818534,1.4030335861321777,0.3553629469122427
exp1_cs0.25,densenet121,7,1.0,sens0.80,0.326904296875,0.6501930501930502,0.2617760617760617,1.5380047505938244,0.4026128266033253
exp1_cs0.25,densenet121,7,1.0,spec0.90,0.460742175579071,0.5057915057915058,0.254054054054054,1.9770992366412214,0.5022900763358777
exp1_cs0.25,densenet121,42,0.5,t0.5,0.5,0.31814671814671813,-0.10810810810810811,3.1432038834951457,-0.3398058252427184
exp1_cs0.25,densenet121,42,0.5,youden_j,0.1590576171875,0.7034749034749035,-0.08262548262548261,1.4215148188803512,-0.1174533479692645
exp1_cs0.25,densenet121,42,0.5,sens0.80,0.1865234375,0.6694980694980694,-0.0918918918918919,1.4936562860438294,-0.1372549019607843
exp1_cs0.25,densenet121,42,0.5,spec0.90,0.311572253704071,0.518918918918919,-0.11351351351351352,1.9270833333333333,-0.21875
exp1_cs0.25,densenet121,42,0.75,t0.5,0.5,0.31814671814671813,-0.020849420849420874,3.1432038834951457,-0.0655339805825243
exp1_cs0.25,densenet121,42,0.75,youden_j,0.1590576171875,0.7034749034749035,-0.00617760617760621,1.4215148188803512,-0.0087815587266739
exp1_cs0.25,densenet121,42,0.75,sens0.80,0.1865234375,0.6694980694980694,-0.007722007722007707,1.4936562860438294,-0.0115340253748558
exp1_cs0.25,densenet121,42,0.75,spec0.90,0.311572253704071,0.518918918918919,-0.016216216216216217,1.9270833333333333,-0.03125
exp1_cs0.25,densenet121,42,1.0,t0.5,0.5,0.31814671814671813,0.03552123552123554,3.1432038834951457,0.1116504854368932
exp1_cs0.25,densenet121,42,1.0,youden_j,0.1590576171875,0.7034749034749035,0.0471042471042471,1.4215148188803512,0.0669593852908891
exp1_cs0.25,densenet121,42,1.0,sens0.80,0.1865234375,0.6694980694980694,0.0517374517374517,1.4936562860438294,0.077277970011534
exp1_cs0.25,densenet121,42,1.0,spec0.90,0.311572253704071,0.518918918918919,0.040154440154440085,1.9270833333333333,0.0773809523809522
exp1_cs0.25,densenet121,123,0.5,t0.5,0.5,0.44787644787644787,0.04633204633204635,2.2327586206896552,0.103448275862069
exp1_cs0.25,densenet121,123,0.5,youden_j,0.2374267578125,0.7281853281853282,0.06177606177606182,1.3732767762460232,0.0848356309650053
exp1_cs0.25,densenet121,123,0.5,sens0.80,0.307861328125,0.6501930501930502,0.05637065637065636,1.5380047505938244,0.0866983372921615
exp1_cs0.25,densenet121,123,0.5,spec0.90,0.4532714784145355,0.49189189189189186,0.0471042471042471,2.0329670329670333,0.0957613814756671
exp1_cs0.25,densenet121,123,0.75,t0.5,0.5,0.44787644787644787,0.10579150579150576,2.2327586206896552,0.236206896551724
exp1_cs0.25,densenet121,123,0.75,youden_j,0.2374267578125,0.7281853281853282,0.10965250965250961,1.3732767762460232,0.1505832449628843
exp1_cs0.25,densenet121,123,0.75,sens0.80,0.307861328125,0.6501930501930502,0.10270270270270271,1.5380047505938244,0.1579572446555819
exp1_cs0.25,densenet121,123,0.75,spec0.90,0.4532714784145355,0.49189189189189186,0.1019305019305019,2.0329670329670333,0.2072213500784929
exp1_cs0.25,densenet121,123,1.0,t0.5,0.5,0.44787644787644787,0.054826254826254806,2.2327586206896552,0.1224137931034482
exp1_cs0.25,densenet121,123,1.0,youden_j,0.2374267578125,0.7281853281853282,0.07181467181467183,1.3732767762460232,0.0986214209968186
exp1_cs0.25,densenet121,123,1.0,sens0.80,0.307861328125,0.6501930501930502,0.057142857142857106,1.5380047505938244,0.0878859857482184
exp1_cs0.25,densenet121,123,1.0,spec0.90,0.4532714784145355,0.49189189189189186,0.060231660231660156,2.0329670329670333,0.1224489795918366
exp1_cs0.50,densenet121,7,0.5,t0.5,0.5,0.40077220077220077,0.06718146718146722,2.495183044315992,0.1676300578034683
exp1_cs0.50,densenet121,7,0.5,youden_j,0.2191162109375,0.7166023166023165,0.07181467181467183,1.3954741379310347,0.1002155172413793
exp1_cs0.50,densenet121,7,0.5,sens0.80,0.270751953125,0.6486486486486487,0.07413127413127418,1.5416666666666665,0.1142857142857142
exp1_cs0.50,densenet121,7,0.5,spec0.90,0.3788574337959289,0.5127413127413127,0.06563706563706567,1.9503012048192772,0.128012048192771
exp1_cs0.50,densenet121,7,0.75,t0.5,0.5,0.40077220077220077,0.019305019305019266,2.495183044315992,0.0481695568400769
exp1_cs0.50,densenet121,7,0.75,youden_j,0.2191162109375,0.7166023166023165,0.0563706563706563,1.3954741379310347,0.0786637931034482
exp1_cs0.50,densenet121,7,0.75,sens0.80,0.270751953125,0.6486486486486487,0.03706563706563709,1.5416666666666665,0.057142857142857
exp1_cs0.50,densenet121,7,0.75,spec0.90,0.3788574337959289,0.5127413127413127,0.009266409266409315,1.9503012048192772,0.0180722891566264
exp1_cs0.50,densenet121,7,1.0,t0.5,0.5,0.40077220077220077,0.12355212355212353,2.495183044315992,0.3082851637764932
exp1_cs0.50,densenet121,7,1.0,youden_j,0.2191162109375,0.7166023166023165,0.1467181467181467,1.3954741379310347,0.2047413793103448
exp1_cs0.50,densenet121,7,1.0,sens0.80,0.270751953125,0.6486486486486487,0.1343629343629344,1.5416666666666665,0.2071428571428571
exp1_cs0.50,densenet121,7,1.0,spec0.90,0.3788574337959289,0.5127413127413127,0.11583011583011588,1.9503012048192772,0.2259036144578313
exp1_cs0.50,densenet121,42,0.5,t0.5,0.5,0.3768339768339768,0.09266409266409259,2.653688524590164,0.2459016393442621
exp1_cs0.50,densenet121,42,0.5,youden_j,0.1873779296875,0.7536679536679537,0.07104247104247108,1.326844262295082,0.0942622950819672
exp1_cs0.50,densenet121,42,0.5,sens0.80,0.24365234375,0.6818532818532819,0.08030888030888034,1.466591166477916,0.1177802944507361
exp1_cs0.50,densenet121,42,0.5,spec0.90,0.364794909954071,0.5335907335907336,0.10347490347490351,1.874095513748191,0.1939218523878437
exp1_cs0.50,densenet121,42,0.75,t0.5,0.5,0.3768339768339768,0.10115830115830116,2.653688524590164,0.2684426229508197
exp1_cs0.50,densenet121,42,0.75,youden_j,0.1873779296875,0.7536679536679537,0.061003861003861015,1.326844262295082,0.0809426229508196
exp1_cs0.50,densenet121,42,0.75,sens0.80,0.24365234375,0.6818532818532819,0.07258687258687263,1.466591166477916,0.1064552661381653
exp1_cs0.50,densenet121,42,0.75,spec0.90,0.364794909954071,0.5335907335907336,0.09498069498069506,1.874095513748191,0.1780028943560059
exp1_cs0.50,densenet121,42,1.0,t0.5,0.5,0.3768339768339768,-0.037837837837837895,2.653688524590164,-0.1004098360655739
exp1_cs0.50,densenet121,42,1.0,youden_j,0.1873779296875,0.7536679536679537,0.03243243243243238,1.326844262295082,0.0430327868852458
