cohort_id,threshold_name,clean_sensitivity,inflation_factor,mean_raw_fnr_shift,mean_asr_rel,n
nih_sex_pneumothorax,t0.5,0.1324876673713883,8.361111111111109,0.061592670894996475,0.4042929292929291,15
nih_sex_effusion,t0.5,0.4021059559065482,2.488666982554247,0.29108259295820993,0.724641964534386,15
exp1_cs0.25,t0.5,0.41287001287001285,2.4973251920267416,0.08434148434148434,0.17048807966936852,9
exp1_cs0.50,t0.5,0.41698841698841693,2.420477581152514,0.06915486915486914,0.16440198884360557,9
mimic_race_matched,t0.5,0.46029979559391326,2.1970208433025125,0.08289802407449469,0.17452261055162693,34
exp1_cs1.00,t0.5,0.4705276705276705,2.129835749431512,0.14671814671814667,0.3085920670126366,9
exp1_cs0.25,spec0.90,0.5055341055341055,1.979049867647196,0.08399828399828396,0.16786977007805792,9
mimic_race_unmatched,t0.5,0.5140810345629623,1.9511939711426873,0.1562357538261153,0.3049742742173618,83
exp1_cs0.50,spec0.90,0.533075933075933,1.8776853121481878,0.07190047190047191,0.13432530852117838,9
mimic_race_unmatched,spec0.90,0.5790017211703959,1.7276737090313607,0.15399358049960463,0.26667433204113017,83
exp1_cs1.00,spec0.90,0.5796653796653798,1.7259247842431718,0.15186615186615188,0.2619015966469852,9
nih_sex_effusion,spec0.90,0.5909838762750905,1.6962251978320577,0.329647910496874,0.5577038854987557,15
nih_sex_pneumothorax,spec0.90,0.6124031007751938,1.633096090739819,0.19746300211416493,0.3220039912984164,15
mimic_race_matched,spec0.90,0.6278219395866454,1.5931887616160487,0.06579604814898932,0.10596820379150698,34
exp1_cs0.25,sens0.80,0.6566280566280567,1.5232219290771594,0.09240669240669239,0.14235784823609163,9
exp1_cs0.50,sens0.80,0.6736164736164736,1.4856012314807072,0.07464607464607464,0.11102666503070852,9
exp1_cs0.25,youden_j,0.7148005148005149,1.3992750604195174,0.09103389103389106,0.12683374115861865,9
mimic_race_unmatched,sens0.80,0.7159417593152533,1.3969561600710987,0.13107875517514073,0.18283503295445164,83
nih_sex_pneumothorax,youden_j,0.7167019027484144,1.3958689024901851,0.1935165609584214,0.2693792444547732,15
nih_sex_pneumothorax,sens0.80,0.7202255109231854,1.3888270632991642,0.19182522903453136,0.2659931692254448,15
exp1_cs0.50,youden_j,0.7338481338481339,1.363264880328804,0.07172887172887173,0.09820015248865716,9
exp1_cs1.00,sens0.80,0.734105534105534,1.362473840676918,0.15315315315315317,0.20852349762166292,9
mimic_race_matched,sens0.80,0.7478083125141949,1.3374719238997177,0.05194185782421078,0.0691682452161041,34
nih_sex_effusion,sens0.80,0.7482724580454098,1.3378017842960181,0.29917736097400466,0.39913038942572165,15
mimic_race_unmatched,youden_j,0.7637065637065638,1.3099394315214719,0.12169139879983255,0.15924064975954316,83
ptbxl_sex,sens0.80,0.7728613569321534,1.2939025725232622,0.7384464110127827,0.9554643313264004,9
nih_sex_effusion,youden_j,0.7749259624876605,1.2922726654518557,0.29101678183613033,0.374889763472291,15
isic_source,spec0.90,0.7782969885773624,1.2854158889809968,0.6569747317410869,0.8435157868451751,18
exp1_cs1.00,youden_j,0.7812097812097814,1.2805487609340938,0.14869154869154866,0.18988933638080008,9
isic_source,t0.5,0.7860851505711319,1.2737895383213784,0.6377639321564555,0.81216791336066,18
mimic_race_matched,youden_j,0.7894844424256189,1.268092944238857,0.05057915057915062,0.06253811307442048,34
isic_source,youden_j,0.8431983385254413,1.1874469331614195,0.5472481827622016,0.6511441754753238,18
isic_source,sens0.80,0.8447559709241952,1.1843381874091727,0.5880927656628592,0.6959080068073802,18
ptbxl_sex,t0.5,0.8495575221238938,1.1773581645184736,0.4134709931170108,0.4870275173607676,9
pcam_site,t0.5,0.8802093887200271,1.1364321593222604,0.7782731059326804,0.8835200870499831,18
pcam_site,sens0.80,0.8814927389395475,1.1380780344659998,0.6245750309580097,0.7149547315225999,18
ptbxl_sex,youden_j,0.9174041297935103,1.0903052615431814,0.16420845624385452,0.1795980978677711,9
pcam_site,youden_j,0.919790611279973,1.087722164208782,0.5030282562197456,0.5501137033933036,18
pcam_site,spec0.90,0.9379263762242487,1.0664379563213897,0.3773837667454689,0.40397822299757546,18
ptbxl_sex,spec0.90,0.9557522123893806,1.0462962962962963,0.13176007866273357,0.13786008230452673,9
